dtm;FP_1;FP_2;FP_3;corriente_1;corriente_2;corriente_3;frecuencia;potencia_1;potencia_2;potencia_3;value;voltaje
2024-02-27T01:25:30;1,416;1,4701;1,4918;83,51;65,54;80,31;59,95;6,21;4,39;5,22;0,07;220,34
2024-02-27T01:25:45;1,4161;1,4149;1,4844;83,77;63,84;80,64;59,97;6,23;4,72;5,32;0,07;220,41
2024-02-27T01:26:00;1,4189;1,4196;1,4873;83,5;63,52;80,44;59,96;6,18;4,66;5,28;0,07;220,38
2024-02-27T01:26:15;1,4174;1,4184;1,4862;83,57;63,49;80,41;59,96;6,2;4,67;5,28;0,07;220,27
2024-02-27T01:26:30;1,4564;1,4251;1,4909;80,99;63,46;80,24;59,99;5,61;4,61;5,23;0,07;220,46
2024-02-27T01:26:45;1,4492;1,4198;1,4867;81,39;63,68;80,4;59,99;5,71;4,67;5,28;0,07;220,39
2024-02-27T01:27:00;1,4521;1,4232;1,4891;81,48;63,73;80,49;60,03;5,69;4,65;5,27;0,07;220,68
2024-02-27T01:27:15;1,4561;1,4251;1,4897;81,15;63,65;80,45;60,04;5,63;4,63;5,26;0,07;220,62
2024-02-27T01:27:30;1,4548;1,4263;1,4911;81,22;63,56;80,33;60,02;5,64;4,62;5,24;0,06;220,67
2024-02-27T01:27:45;1,4533;1,4251;1,4895;81,28;63,62;80,38;60;5,66;4,63;5,25;0,07;220,6
2024-02-27T01:28:00;1,4557;1,4257;1,4901;81,12;63,6;80,39;59,99;5,63;4,62;5,25;0,06;220,56
2024-02-27T01:28:15;1,4548;1,4257;1,4908;81,18;63,51;80,28;59,96;5,64;4,62;5,24;0,07;220,62
2024-02-27T01:28:30;1,4561;1,4276;1,4922;81,1;63,5;80,22;59,96;5,62;4,61;5,22;0,07;220,75
2024-02-27T01:28:45;1,4557;1,4272;1,4912;81,29;63,69;80,44;60,02;5,64;4,62;5,25;0,06;220,81
2024-02-27T01:29:00;1,4562;1,4282;1,4918;81,2;63,59;80,37;60,01;5,63;4,61;5,24;0,07;220,83
2024-02-27T01:29:15;1,4559;1,4286;1,4918;81,25;63,61;80,39;60,01;5,64;4,61;5,24;0,06;220,81
2024-02-27T01:29:30;1,4558;1,4285;1,4914;81,25;63,59;80,42;60,01;5,64;4,61;5,24;0,07;220,84
2024-02-27T01:29:45;1,4551;1,4273;1,4906;81,16;63,53;80,32;59,97;5,64;4,61;5,24;0,06;220,78
2024-02-27T01:30:00;1,4563;1,497;1,491;81,16;64,95;80,52;59,99;5,63;4,14;5,26;0,06;220,93
2024-02-27T01:30:15;1,4568;1,4977;1,492;81,24;64,97;80,58;60,03;5,63;4,14;5,25;0,06;220,98
2024-02-27T01:30:30;1,4576;1,4993;1,4925;81,09;64,8;80,46;59,99;5,61;4,11;5,24;0,06;220,97
2024-02-27T01:30:45;1,4367;1,4993;1,4714;80,19;65,03;81,74;60,03;5,77;4,13;5,54;0,06;221,08
2024-02-27T01:31:00;1,4383;1,5005;1,4726;80,17;65,06;81,72;60,05;5,75;4,13;5,53;0,06;221,17
2024-02-27T01:31:15;1,428;1,5018;1,4739;80,38;64,97;81,64;60,03;5,87;4,11;5,51;0,07;221,13
