dtm;FP_1;FP_2;FP_3;corriente_1;corriente_2;corriente_3;frecuencia;potencia_1;potencia_2;potencia_3;value;voltaje
2024-09-30T00:00:00;0,9087;1,0153;0,9432;53,06;43,73;49,63;59,95;6,07;5,44;5,87;0,22;218,02
2024-09-30T00:00:45;0,909;1,0186;0,944;53,2;39,67;49,67;60,06;6,1;4,92;5,89;0,21;218,37
2024-09-30T00:01:30;0,9091;1,0183;0,9438;53,04;39,56;49,53;60,03;6,08;4,91;5,87;0,22;218,24
2024-09-30T00:02:15;0,9885;1,0187;0,891;41,12;39,26;29,29;60,04;5,13;4,87;3,28;0,19;218,44
2024-09-30T00:03:00;0,9882;1,0153;0,8911;40,8;43,51;29,36;59,99;5,08;5,41;3,28;0,17;217,9
2024-09-30T00:03:45;0,988;1,0158;0,8925;41,13;43,2;29,7;59,97;5,12;5,36;3,32;0,17;217,92
2024-09-30T00:04:30;0,9877;0,9837;0,8881;40,97;40,67;31,3;59,97;5,11;5,06;3,49;0,17;218,34
2024-09-30T00:05:15;0,9897;0,9836;0,8871;44,73;40,65;31,28;60;5,59;5,06;3,49;0,17;218,57
2024-09-30T00:06:00;0,9887;0,9836;0,9225;45,81;40,59;34,94;59,93;5,73;5,06;4,06;0,18;218,96
2024-09-30T00:06:45;0,9864;0,9833;0,9359;41,78;40,28;32,14;60,01;5,22;5,02;3,79;0,18;218,95
2024-09-30T00:07:30;0,9882;0,9873;0,948;40,71;45,63;35,18;60;5,1;5,71;4,2;0,18;219,11
2024-09-30T00:08:15;0,9889;0,9868;0,9425;39,74;45,42;29,78;59,96;4,98;5,68;3,54;0,18;219,02
2024-09-30T00:09:00;0,9894;0,9832;0,9235;40,21;40,3;26,07;60,02;5,03;5,02;3,03;0,17;218,78
2024-09-30T00:09:45;0,9902;0,986;0,9236;42,88;43,88;25,74;59,96;5,35;5,46;2,98;0,17;217,91
2024-09-30T00:10:30;0,991;0,983;0,9527;43,27;40,79;21,99;60,01;5,4;5,06;2,63;0,17;218,1
2024-09-30T00:11:15;0,9903;0,982;0,9512;41,21;41,22;21,72;60;5,09;5,06;2,56;0,16;215,79
2024-09-30T00:12:00;0,9897;0,9816;0,9496;40,55;40,97;21,63;59,98;5,03;5,05;2,56;0,16;216,75
2024-09-30T00:12:45;0,9893;1,0197;0,9583;40,36;39,82;21,14;59,96;5;4,89;2,52;0,16;216,44
2024-09-30T00:13:30;0,99;0,9814;0,9561;46,43;40,53;20,83;60,02;5,77;5;2,49;0,16;217,03
2024-09-30T00:14:15;0,9924;0,9812;0,9576;54,12;40,44;20,72;60,03;6,74;4,99;2,48;0,17;216,99
2024-09-30T00:15:00;0,9884;0,9809;0,9564;46,33;47,48;20,76;59,99;5,74;5,85;2,48;0,17;216,84
2024-09-30T00:15:45;0,988;0,9844;0,9508;42,73;44,75;21,48;60,01;5,3;5,53;2,55;0,17;217,02
2024-09-30T00:16:30;0,9881;0,9814;0,9495;41,76;41,4;21,67;59,98;5,18;5,1;2,57;0,17;217
2024-09-30T00:17:15;0,9888;0,9814;0,9498;41,41;41,14;21,61;59,98;5,14;5,07;2,56;0,16;216,96
2024-09-30T00:18:00;0,9888;0,9812;0,9505;41,39;41,38;22,03;59,95;5,13;5,1;2,61;0,16;216,88
2024-09-30T00:18:45;0,9891;0,9816;0,9432;40,13;41,28;22,55;59,98;4,98;5,09;2,65;0,16;216,86
2024-09-30T00:19:30;0,9906;0,9815;0,9429;43,7;41,24;22,16;59,97;5,43;5,08;2,61;0,16;216,91
2024-09-30T00:20:15;0,9921;0,9841;0,9429;48,95;44,84;22,05;60,01;6,1;5,54;2,6;0,17;217,12
2024-09-30T00:21:00;0,9899;0,9808;0,9418;44,73;49,25;22,11;59,98;5,56;6,07;2,6;0,18;217,06
2024-09-30T00:21:45;0,9074;0,977;0,9643;53,93;45,51;43,72;59,99;6,14;5,59;5,26;0,21;217,03
2024-09-30T00:22:30;0,9094;0,9776;0,9642;54,67;45,65;43,56;60,01;6,23;5,61;5,24;0,21;216,94
2024-09-30T00:23:15;0,9091;0,976;0,9638;54,82;46,98;43,46;59,97;6,25;5,76;5,22;0,21;216,92
2024-09-30T00:24:00;0,908;0,9803;0,9631;54,28;51,26;43,91;59,99;6,18;6,31;5,28;0,22;217
2024-09-30T00:24:45;0,9095;0,9774;0,9638;54,96;53;43,81;59,98;6,27;6,51;5,27;0,23;217,01
2024-09-30T00:25:31;0,9078;0,9798;0,9667;54,29;43,27;43,02;59,98;6,18;5,33;5,19;0,22;216,96
2024-09-30T00:26:15;0,9092;0,9837;0,9673;54,56;46,32;42,99;60,01;6,22;5,73;5,19;0,2;217,02
2024-09-30T00:27:00;0,9304;0,9837;0,9672;65,98;46,37;43,02;60;7,7;5,73;5,19;0,22;217,04
2024-09-30T00:27:45;0,9104;0,9807;0,9669;59,49;42,66;42,92;60,02;6,8;5,26;5,18;0,22;217,1
2024-09-30T00:28:30;0,9002;0,9809;0,966;56,83;42,38;43,86;60;6,42;5,22;5,29;0,22;217,03
2024-09-30T00:29:15;0,9033;0,9817;0,9662;55,54;41,94;43,77;60;6,3;5,17;5,28;0,21;217,09
2024-09-30T00:30:00;0,9075;0,9818;0,962;56,64;41,43;44,85;60;6,45;5,11;5,39;0,21;217,12
2024-09-30T00:30:45;0,9049;0,9847;0,9615;55,24;45,4;44,67;59,98;6,27;5,62;5,36;0,21;217,12
2024-09-30T00:31:30;0,906;0,9819;0,9616;55,28;41,73;44,68;60,03;6,29;5,15;5,37;0,21;217,21
2024-09-30T00:32:15;0,9121;0,9821;0,9614;53,75;41,86;44,55;60,01;6,15;5,17;5,35;0,21;217,13
2024-09-30T00:33:00;0,9092;1,0195;0,9613;53,21;40,8;44,79;59,99;6,07;5,03;5,38;0,21;217,11
2024-09-30T00:33:45;0,9073;1,0162;0,9564;54,57;44,76;45,82;60;6,22;5,54;5,47;0,21;217,18
2024-09-30T00:34:30;0,9082;1,0198;0,9554;54,82;41,08;46,2;60,02;6,25;5,07;5,52;0,21;217,28
2024-09-30T00:35:15;0,9127;1,0165;0,9593;52,96;40,96;46,73;59,98;6,07;5,07;5,6;0,21;217,18
2024-09-30T00:36:00;0,9899;1,0176;0,9227;40,71;40,61;26,13;60;5,06;5,02;3,01;0,17;217,22
2024-09-30T00:36:45;0,9895;1,0151;0,9161;40,5;44,12;26,93;59,96;5,03;5,47;3,08;0,17;217,28
2024-09-30T00:37:30;0,9898;1,018;0,9263;41,27;43,73;25,72;59,99;5,13;5,4;2,98;0,17;217,36
2024-09-30T00:38:15;0,9886;1,0214;0,928;41,97;40,05;25,79;60,01;5,21;4,93;2,99;0,17;217,28
2024-09-30T00:39:00;0,9891;1,0161;0,9193;42,17;45,46;27,01;59,98;5,24;5,63;3,1;0,17;217,32
2024-09-30T00:39:45;0,9893;1,0207;0,918;42,07;39,73;26,79;59,96;5,23;4,89;3,07;0,17;217,32
2024-09-30T00:40:30;0,989;1,0205;0,9192;41,2;39,81;26,79;60,01;5,13;4,91;3,08;0,17;217,5
2024-09-30T00:41:15;0,9923;1,0207;0,9198;44,29;39,79;26,77;60,02;5,53;4,9;3,08;0,17;217,43
2024-09-30T00:42:00;0,9923;1,0209;0,9618;44,55;39,68;34,85;59,99;5,56;4,89;4,19;0,17;217,39
2024-09-30T00:42:45;0,9919;1,0154;0,9613;44,33;44,14;34,72;60,01;5,53;5,46;4,17;0,19;217,25
2024-09-30T00:43:30;0,9891;1,0186;0,9284;40,74;40,53;26,07;59,98;5,06;5;3,02;0,17;217,23
2024-09-30T00:44:15;0,9906;1,0185;0,9347;45,37;40,45;25,17;59,99;5,65;4,99;2,94;0,17;217,22
2024-09-30T00:45:00;0,9874;1,018;0,9354;46,79;40,8;25,22;60;5,8;5,04;2,95;0,17;217,22
2024-09-30T00:45:45;0,9853;1,0154;0,9343;43,55;41,72;25,28;60;5,39;5,16;2,95;0,17;217,26
2024-09-30T00:46:30;0,9865;0,9854;0,9338;42,43;42,42;25,23;59,98;5,26;5,25;2,94;0,17;217,22
2024-09-30T00:47:15;0,9871;0,9852;0,9421;42,62;42,1;24,3;59,96;5,28;5,21;2,86;0,17;217,17
2024-09-30T00:48:00;0,9896;0,9872;0,9449;41,95;45,92;23,77;60;5,22;5,7;2,81;0,17;217,24
2024-09-30T00:48:45;0,9894;0,9873;0,9454;41,88;45,84;23,72;60,02;5,21;5,69;2,8;0,17;217,27
2024-09-30T00:49:30;0,9908;0,9854;0,9451;41,5;42,45;23,71;59,98;5,17;5,26;2,8;0,17;217,41
2024-09-30T00:50:15;0,9902;0,9846;0,9441;40,98;42,26;23,64;59,96;5,1;5,23;2,79;0,16;217,3
2024-09-30T00:51:00;0,9903;0,9847;0,9593;40,94;42,85;27,33;59,95;5,1;5,31;3,28;0,17;217,41
2024-09-30T00:51:45;0,991;0,9872;0,9533;40,34;46,38;28,57;59,95;5,03;5,76;3,4;0,17;217,36
2024-09-30T00:52:30;0,9897;0,9852;0,9362;41,03;54,59;24,4;59,96;5,11;6,77;2,86;0,18;217,51
2024-09-30T00:53:15;0,9887;0,9855;0,9435;41,04;55,37;23,37;59,96;5,1;6,87;2,76;0,18;217,43
2024-09-30T00:54:00;0,9893;0,9875;0,9329;41,62;54,28;24,84;59,99;5,18;6,74;2,9;0,19;217,45
2024-09-30T00:54:45;0,9107;0,981;0,9649;53,15;45,26;44,87;59,99;6,08;5,59;5,41;0,19;217,43
2024-09-30T00:55:30;0,9118;0,9807;0,9603;52,9;45,41;45,47;60,02;6,07;5,61;5,46;0,21;217,53
2024-09-30T00:56:15;0,9197;0,9814;0,9598;51,68;45,44;45,16;59,98;5,97;5,61;5,42;0,21;217,37
2024-09-30T00:57:00;0,9182;1,0172;0,9604;51,45;40,26;45,12;60;5,94;4,98;5,42;0,21;217,54
2024-09-30T00:57:45;0,9351;0,9805;0,959;54,71;40,2;44,59;59,99;6,43;4,96;5,35;0,21;217,54
2024-09-30T00:58:30;0,9355;0,9799;0,9587;54,37;40,1;44,55;59,98;6,4;4,95;5,34;0,21;217,6
2024-09-30T00:59:15;0,9275;0,9831;0,964;55,09;43,78;43,83;59,97;6,42;5,42;5,28;0,21;217,48
2024-09-30T01:00:00;0,9127;0,9833;0,9697;53,17;43,8;42,56;60,03;6,11;5,43;5,17;0,21;217,75
2024-09-30T01:00:45;0,9235;0,9809;0,969;55,52;40,92;42,44;60,02;6,46;5,07;5,15;0,21;217,95
2024-09-30T01:01:30;0,9234;0,9833;0,969;55,87;43,9;42,44;59,96;6,5;5,45;5,15;0,21;217,98
2024-09-30T01:02:15;0,9234;0,9802;0,9687;55,24;40,13;42,29;59,93;6,42;4,96;5,13;0,21;217,91
2024-09-30T01:03:00;0,9313;1,021;0,9715;52,69;39,33;41,76;59,95;6,18;4,86;5,09;0,2;218
2024-09-30T01:03:45;0,9139;1,0213;0,972;51,63;38,98;41,62;59,95;5,95;4,82;5,08;0,2;218,15
2024-09-30T01:04:30;0,9115;1,0218;0,9728;52,59;39,02;41,84;59,96;6,04;4,81;5,1;0,2;217,89
2024-09-30T01:05:15;0,9126;1,0215;0,9722;52,29;39,05;41,61;59,96;6;4,81;5,06;0,2;217,52
2024-09-30T01:06:00;0,9235;0,9837;0,9728;55,74;44,75;41,64;59,96;6,47;5,53;5,07;0,21;217,38
2024-09-30T01:06:45;0,9263;1,0197;0,9728;56,6;39,53;41,71;60;6,59;4,87;5,07;0,21;217,25
2024-09-30T01:07:30;0,9141;1,0223;0,9773;52,5;38,29;40,43;60;6,03;4,7;4,93;0,2;217,12
2024-09-30T01:08:15;0,9129;1,0228;0,9776;52,36;38,11;40,45;60,02;6;4,67;4,94;0,2;217,05
2024-09-30T01:09:00;0,9881;1,0222;0,9489;42,23;38,39;21,28;59,96;5,24;4,71;2,52;0,18;217
2024-09-30T01:09:45;0,9863;1,0173;0,95;42,56;43,49;21,14;60,04;5,28;5,36;2,51;0,16;217,04
2024-09-30T01:10:30;0,9872;1,0173;0,9496;42,11;45,47;21,1;60,05;5,22;5,6;2,5;0,17;217,05
2024-09-30T01:11:15;0,9874;1,0205;0,9486;42,49;42,46;21,16;59,97;5,27;5,21;2,5;0,17;216,86
2024-09-30T01:12:00;0,9876;1,0225;0,9487;40,96;38,18;21,01;59,95;5,08;4,68;2,49;0,15;217,01
2024-09-30T01:12:45;0,9896;1,0188;0,9486;40,82;41,85;20,92;59,96;5,07;5,15;2,48;0,16;216,9
2024-09-30T01:13:30;0,9896;1,0225;0,9421;40,43;38,23;21,98;59,98;5,03;4,68;2,58;0,15;216,88
2024-09-30T01:14:15;0,9888;1,021;0,9339;39,8;37,33;22,29;59,98;4,95;4,58;2,6;0,15;216,98
2024-09-30T01:15:00;0,9887;1,0256;0,9341;41,14;36,32;22,03;60;5,12;4,44;2,57;0,15;217,12
2024-09-30T01:15:45;0,9864;1,0253;0,9217;41,37;36,31;23,24;60,05;5,14;4,44;2,68;0,15;217,3
2024-09-30T01:16:30;0,9869;1,0255;0,8764;41,63;36,45;28,47;60,03;5,17;4,46;3,12;0,15;217,28
2024-09-30T01:17:15;0,987;1,0268;0,9491;41,56;37,32;26,85;60,01;5,16;4,56;3,18;0,16;217,21
2024-09-30T01:18:00;0,9842;1,0241;0,9457;43,04;39,34;27,61;59,97;5,32;4,82;3,26;0,16;217,11
2024-09-30T01:18:45;0,9848;1,0215;0,9473;43,19;40;28,45;60,01;5,35;4,91;3,37;0,17;217,15
2024-09-30T01:19:30;0,9887;1,0218;0,9231;45,17;40,01;23,69;59,97;5,61;4,91;2,73;0,17;217,12
2024-09-30T01:20:15;0,9906;1,0215;0,9221;44,48;40,08;23,77;59,94;5,54;4,92;2,74;0,17;217,1
2024-09-30T01:21:00;0,9901;1,0159;0,9406;40,87;43,17;23,51;60,02;5,09;5,33;2,76;0,16;217,09
2024-09-30T01:21:45;0,9898;1,0137;0,9477;41,19;46,86;22,59;59,98;5,13;5,8;2,67;0,17;217,2
2024-09-30T01:22:30;0,9915;1,0129;0,9482;44,55;48,11;22,59;60,04;5,56;5,96;2,68;0,18;217,29
2024-09-30T01:23:15;0,9919;1,0192;0,9484;43,51;39,54;22,81;59,99;5,43;4,87;2,71;0,17;217,4
2024-09-30T01:24:00;0,9897;1,0193;0,9393;39,69;39,56;24,42;60,03;4,95;4,88;2,87;0,16;217,52
2024-09-30T01:24:45;0,9899;1,0245;0,9391;40,36;46,17;24,7;59,98;5,03;5,66;2,9;0,16;217,49
2024-09-30T01:25:30;0,9899;0,9867;0,9399;40,13;43,24;24,72;59,98;5;5,36;2,9;0,17;217,38
2024-09-30T01:26:15;0,9904;0,9866;0,9399;40,2;43,44;24,94;59,98;5,02;5,39;2,93;0,17;217,65
2024-09-30T01:27:00;0,989;0,987;0,9324;41,32;44,99;26,16;60,01;5,15;5,58;3,05;0,17;217,61
2024-09-30T01:27:45;0,9895;0,9872;0,9331;41,81;46,08;26,43;60,05;5,22;5,72;3,09;0,17;217,64
2024-09-30T01:28:30;0,9091;0,9863;0,9634;53,5;46,88;47,03;60,03;6,13;5,81;5,67;0,18;217,63
2024-09-30T01:29:15;0,9161;1,0138;0,962;52,37;42,28;46,62;60,01;6,05;5,24;5,61;0,22;217,65
2024-09-30T01:30:00;0,9163;1,014;0,9612;52,13;42,36;46,45;60,02;6,02;5,25;5,59;0,21;217,61
2024-09-30T01:30:45;0,9173;1,0143;0,962;52,47;42,26;46,41;60,02;6,07;5,24;5,59;0,21;217,64
2024-09-30T01:31:30;0,907;1,0144;0,9613;53,98;42,33;46,44;59,96;6,17;5,25;5,59;0,21;217,7
2024-09-30T01:32:15;0,8949;1,0158;0,9622;57,17;41,27;46,02;59,95;6,45;5,11;5,54;0,21;217,72
2024-09-30T01:33:00;0,896;1,0149;0,9604;55,66;44,42;46,93;60;6,29;5,51;5,64;0,21;217,75
2024-09-30T01:33:45;0,8998;1,0138;0,9596;56,34;44,93;46,81;60;6,39;5,58;5,63;0,22;217,78
2024-09-30T01:34:30;0,8953;1,0162;0,9596;55,48;41,32;46,89;59,95;6,26;5,12;5,64;0,22;217,81
2024-09-30T01:35:15;0,8907;1,0135;0,9642;57,87;45,18;45,9;60,02;6,5;5,61;5,55;0,21;217,88
2024-09-30T01:36:00;0,8963;1,0204;0,9644;56,76;40,57;46;59,95;6,41;5;5,56;0,21;217,74
2024-09-30T01:36:45;0,9086;1,0203;0,9693;59,58;40,16;49,45;60,04;6,83;4,96;6,01;0,22;217,98
2024-09-30T01:37:30;0,9103;1,014;0,9695;58,87;45,98;49,32;60,06;6,77;5,72;6;0,23;218,13
2024-09-30T01:38:15;0,8987;1,014;0,9693;56,13;46,06;44,79;59,99;6,36;5,72;5,44;0,23;217,86
2024-09-30T01:39:00;0,9041;1,0179;0,969;59,88;40,59;44,65;60;6,83;5,02;5,42;0,22;217,93
2024-09-30T01:39:45;0,905;1,0176;0,9723;59,84;40,53;43,51;60,05;6,83;5,02;5,3;0,22;218,01
2024-09-30T01:40:30;0,8933;1,0178;0,9715;56,93;40,76;43,8;59,98;6,41;5,04;5,33;0,21;217,87
2024-09-30T01:41:15;0,9032;1,0178;0,9715;61,59;40,55;43,86;59,99;7,02;5,02;5,34;0,21;217,98
2024-09-30T01:42:00;0,9044;1,018;0,9716;62,01;40,56;43,97;59,97;7,08;5,02;5,36;0,22;217,98
2024-09-30T01:42:45;0,9795;1,0184;0,9514;44,81;40,49;23,43;60,05;5,55;5,01;2,8;0,2;218,3
2024-09-30T01:43:30;0,985;1,0196;0,9487;43,06;42,22;24,48;60,01;5,36;5,22;2,92;0,17;218,26
2024-09-30T01:44:15;0,9854;1,017;0,9497;43,34;43,74;24,24;59,99;5,4;5,42;2,89;0,17;218,23
2024-09-30T01:45:00;0,9848;1,0174;0,9424;42,94;43,49;25,36;59,99;5,35;5,39;3;0,17;218,37
2024-09-30T01:45:45;0,9855;1,0206;0,9411;43,32;39,9;25,22;60,03;5,4;4,93;2,98;0,17;218,43
2024-09-30T01:46:30;0,9847;1,0143;0,9408;42,94;47,86;25,22;60,02;5,35;5,96;2,98;0,17;218,46
2024-09-30T01:47:15;0,9854;1,0166;0,9122;43,19;44,19;29,29;60,04;5,38;5,49;3,36;0,18;218,42
2024-09-30T01:48:00;0,9821;1,016;0,9103;43,96;41,05;29,07;60;5,46;5,1;3,32;0,17;218,33
2024-09-30T01:48:45;0,9821;1,0164;0,9033;44,23;40,82;30,27;59,96;5,49;5,07;3,43;0,17;218,3
2024-09-30T01:49:30;0,9822;1,0148;0,9033;43,96;41,78;30,24;59,99;5,46;5,19;3,43;0,18;218,31
2024-09-30T01:50:15;0,9821;1,0121;0,9019;43,79;45,42;29,89;59,98;5,44;5,66;3,38;0,18;218,26
2024-09-30T01:51:00;0,982;1,0124;0,897;43,86;45,16;30,85;60,03;5,45;5,63;3,48;0,18;218,4
2024-09-30T01:51:45;0,9873;1,0119;0,9187;42,53;46,29;34,41;60,01;5,31;5,77;3,97;0,19;218,44
2024-09-30T01:52:30;0,9882;1,0151;0,927;46,89;41,78;34,14;60,01;5,86;5,19;3,98;0,19;218,42
2024-09-30T01:53:15;0,9887;1,0152;0,9036;47,21;41,75;30,2;60,06;5,91;5,19;3,43;0,19;218,48
2024-09-30T01:54:00;0,9897;1,0125;0,9168;45,82;45,3;28,85;60,01;5,74;5,64;3,32;0,18;218,39
2024-09-30T01:54:45;0,9892;1,0125;0,906;45,59;45,42;30,17;59,98;5,71;5,66;3,44;0,18;218,52
2024-09-30T01:55:30;0,985;1,011;0,9295;43,49;48,83;34,78;60;5,42;6,1;4,06;0,2;218,6
2024-09-30T01:56:15;0,9845;1,0173;0,913;43,16;43,72;29,06;59,98;5,38;5,42;3,33;0,19;218,51
2024-09-30T01:57:00;0,9847;1,0204;0,9135;43,18;40,2;29,31;59,99;5,38;4,97;3,36;0,17;218,55
2024-09-30T01:57:45;0,9844;0,987;0,9125;43,34;43,98;29,07;59,95;5,4;5,48;3,33;0,18;218,49
2024-09-30T01:58:30;0,9857;0,9871;0,9201;47,3;43,83;28,35;59,96;5,91;5,47;3,28;0,19;218,64
2024-09-30T01:59:15;0,9897;0,9867;0,9196;45,85;43,92;28,16;59,96;5,75;5,47;3,26;0,18;218,57
