series,timestamp,value,label
11A,2024-04-01T08:35:45,80.4,
11A,2024-04-01T08:36:00,75.83000000000001,
11A,2024-04-01T08:36:15,75.89,
11A,2024-04-01T08:36:30,73.71000000000001,
11A,2024-04-01T08:36:45,73.35,
11A,2024-04-01T08:37:00,73.25,
11A,2024-04-01T08:37:15,88.84,
11A,2024-04-01T08:37:30,88.73,
11A,2024-04-01T08:37:45,97.08999999999999,
11A,2024-04-01T08:38:00,93.27,
11A,2024-04-01T08:38:15,92.76,
11A,2024-04-01T08:38:30,92.47,
11A,2024-04-01T08:38:45,92.5,
11A,2024-04-01T08:39:00,92.67999999999999,
11A,2024-04-01T08:39:15,92.75,
11A,2024-04-01T08:39:30,94.96,
11A,2024-04-01T08:39:45,95.12,
11A,2024-04-01T08:40:00,95.42,
11A,2024-04-01T08:40:15,96.07,
11A,2024-04-01T08:40:30,96.03,
11A,2024-04-01T08:40:45,95.1,
11A,2024-04-01T08:41:00,94.99000000000001,
11A,2024-04-01T08:41:15,95.07,
11A,2024-04-01T08:41:30,95.3,
11A,2024-04-01T08:41:45,80.48,
11A,2024-04-01T08:42:00,80.72,
11A,2024-04-01T08:42:15,80.73,
11A,2024-04-01T08:42:30,77.63,
11A,2024-04-01T08:42:45,77.63,
11A,2024-04-01T08:43:00,82.71000000000001,
11A,2024-04-01T08:43:15,82.72999999999999,
11A,2024-04-01T08:43:30,82.69,
11A,2024-04-01T08:43:45,82.77000000000001,
11A,2024-04-01T08:44:00,82.88,
11A,2024-04-01T08:44:15,82.79,
11A,2024-04-01T08:44:30,82.69,
11A,2024-04-01T08:44:45,82.09,
11A,2024-04-01T08:45:00,82.12,
11A,2024-04-01T08:45:15,82.64999999999999,
11A,2024-04-01T08:45:30,82.58,
11A,2024-04-01T08:45:45,82.89,
11A,2024-04-01T08:46:00,82.98,
11A,2024-04-01T08:46:15,78.14,
11A,2024-04-01T08:46:30,73.73,
11A,2024-04-01T08:46:45,73.85,
11A,2024-04-01T08:47:00,73.75,
11A,2024-04-01T08:47:15,73.91999999999999,
11A,2024-04-01T08:47:30,73.57000000000001,
11A,2024-04-01T08:47:45,74.3,
11A,2024-04-01T08:48:00,74.13,
11A,2024-04-01T08:48:15,74.24,
11A,2024-04-01T08:48:30,74.17,
11A,2024-04-01T08:48:45,73.95,
11A,2024-04-01T08:49:00,73.84,
11A,2024-04-01T08:49:15,73.71,
11A,2024-04-01T08:49:30,72.98,
11A,2024-04-01T08:49:45,87.88,
11A,2024-04-01T08:50:00,87.88999999999999,
11A,2024-04-01T08:50:15,87.56,
11A,2024-04-01T08:50:30,87.55999999999999,
11A,2024-04-01T08:50:45,87.81,
11A,2024-04-01T08:51:00,88.78,
11A,2024-04-01T08:51:15,92.53,
11A,2024-04-01T08:51:30,92.25,
11A,2024-04-01T08:51:45,91.94,
11A,2024-04-01T08:52:00,91.57,
11A,2024-04-01T08:52:15,92.13,
11A,2024-04-01T08:52:30,92.09,
11A,2024-04-01T08:52:45,91.86,
11A,2024-04-01T08:53:00,99.43,
11A,2024-04-01T08:53:15,101.5,
11A,2024-04-01T08:53:30,102.1,
11A,2024-04-01T08:53:45,101.38,
11A,2024-04-01T08:54:00,101.11000000000001,
11A,2024-04-01T08:54:15,100.87,
11A,2024-04-01T08:54:30,86.25,
11A,2024-04-01T08:54:45,86.26,
11A,2024-04-01T08:55:00,86.41,
11A,2024-04-01T08:55:15,86.12,
11A,2024-04-01T08:55:30,86.07,
11A,2024-04-01T08:55:45,86.00999999999999,
11A,2024-04-01T08:56:00,86.49,
11A,2024-04-01T08:56:15,86.03,
11A,2024-04-01T08:56:30,81.17,
11A,2024-04-01T08:56:45,81.02000000000001,
11A,2024-04-01T08:57:00,80.97,
11A,2024-04-01T08:57:15,81.15,
11A,2024-04-01T08:57:30,81.13,
11A,2024-04-01T08:57:45,81.9,
11A,2024-04-01T08:58:00,82.15,
11A,2024-04-01T08:58:15,83.08,
11A,2024-04-01T08:58:30,83.35,
11A,2024-04-01T08:58:45,83.61,
11A,2024-04-01T08:59:00,83.65,
11A,2024-04-01T08:59:15,83.73,
11A,2024-04-01T08:59:30,84.16,
11A,2024-04-01T08:59:45,84.15,
11A,2024-04-01T09:00:00,84.31,
11A,2024-04-01T09:00:15,83.85000000000001,
11A,2024-04-01T09:00:30,82.23,
11A,2024-04-01T09:00:45,79.57000000000001,
11A,2024-04-01T09:01:00,79.81,
11A,2024-04-01T09:01:15,79.62,
11A,2024-04-01T09:01:30,79.37,
11A,2024-04-01T09:01:45,79.27,
11A,2024-04-01T09:02:00,78.80000000000001,
11A,2024-04-01T09:02:15,74.72,
11A,2024-04-01T09:02:30,80.12,
11A,2024-04-01T09:02:45,96.82999999999998,
11A,2024-04-01T09:03:00,98.03999999999999,
11A,2024-04-01T09:03:15,98.71000000000001,
11A,2024-04-01T09:03:30,99.11999999999999,
11A,2024-04-01T09:03:45,105.07000000000001,
11A,2024-04-01T09:04:00,105.6,
11A,2024-04-01T09:04:15,105.24999999999999,
11A,2024-04-01T09:04:30,105.24000000000001,
11A,2024-04-01T09:04:45,105.47,
11A,2024-04-01T09:05:00,105.84,
11A,2024-04-01T09:05:15,106.02,
11A,2024-04-01T09:05:30,105.96,
11A,2024-04-01T09:05:45,107.00999999999999,
11A,2024-04-01T09:06:00,105.16,
11A,2024-04-01T09:06:15,104.48,
11A,2024-04-01T09:06:30,103.39,
11A,2024-04-01T09:06:45,102.93,
11A,2024-04-01T09:07:00,98.0,
11A,2024-04-01T09:07:15,97.82,
11A,2024-04-01T09:07:30,83.03999999999999,
11A,2024-04-01T09:07:45,83.25999999999999,
11A,2024-04-01T09:08:00,83.26,
11A,2024-04-01T09:08:15,83.58,
11A,2024-04-01T09:08:30,83.23,
11A,2024-04-01T09:08:45,83.76,
