series,timestamp,value,label
6A,2024-09-30T00:00:00,17.380000000000003,
6A,2024-09-30T00:00:45,16.91,
6A,2024-09-30T00:01:30,16.86,
6A,2024-09-30T00:02:15,13.28,
6A,2024-09-30T00:03:00,13.77,
6A,2024-09-30T00:03:45,13.8,
6A,2024-09-30T00:04:30,13.66,
6A,2024-09-30T00:05:15,14.139999999999999,
6A,2024-09-30T00:06:00,14.849999999999998,
6A,2024-09-30T00:06:45,14.029999999999998,
6A,2024-09-30T00:07:30,15.009999999999998,
6A,2024-09-30T00:08:15,14.2,
6A,2024-09-30T00:09:00,13.08,
6A,2024-09-30T00:09:45,13.79,
6A,2024-09-30T00:10:30,13.09,
6A,2024-09-30T00:11:15,12.709999999999999,
6A,2024-09-30T00:12:00,12.64,
6A,2024-09-30T00:12:45,12.41,
6A,2024-09-30T00:13:30,13.26,
6A,2024-09-30T00:14:15,14.21,
6A,2024-09-30T00:15:00,14.07,
6A,2024-09-30T00:15:45,13.379999999999999,
6A,2024-09-30T00:16:30,12.85,
6A,2024-09-30T00:17:15,12.770000000000001,
6A,2024-09-30T00:18:00,12.84,
6A,2024-09-30T00:18:45,12.72,
6A,2024-09-30T00:19:30,13.12,
6A,2024-09-30T00:20:15,14.24,
6A,2024-09-30T00:21:00,14.229999999999999,
6A,2024-09-30T00:21:45,16.990000000000002,
6A,2024-09-30T00:22:30,17.08,
6A,2024-09-30T00:23:15,17.23,
6A,2024-09-30T00:24:00,17.77,
6A,2024-09-30T00:24:45,18.049999999999997,
6A,2024-09-30T00:25:31,16.7,
6A,2024-09-30T00:26:15,17.14,
6A,2024-09-30T00:27:00,18.62,
6A,2024-09-30T00:27:45,17.24,
6A,2024-09-30T00:28:30,16.93,
6A,2024-09-30T00:29:15,16.75,
6A,2024-09-30T00:30:00,16.95,
6A,2024-09-30T00:30:45,17.25,
6A,2024-09-30T00:31:30,16.810000000000002,
6A,2024-09-30T00:32:15,16.67,
6A,2024-09-30T00:33:00,16.48,
6A,2024-09-30T00:33:45,17.23,
6A,2024-09-30T00:34:30,16.84,
6A,2024-09-30T00:35:15,16.740000000000002,
6A,2024-09-30T00:36:00,13.089999999999998,
6A,2024-09-30T00:36:45,13.58,
6A,2024-09-30T00:37:30,13.510000000000002,
6A,2024-09-30T00:38:15,13.13,
6A,2024-09-30T00:39:00,13.97,
6A,2024-09-30T00:39:45,13.190000000000001,
6A,2024-09-30T00:40:30,13.12,
6A,2024-09-30T00:41:15,13.51,
6A,2024-09-30T00:42:00,14.64,
6A,2024-09-30T00:42:45,15.16,
6A,2024-09-30T00:43:30,13.079999999999998,
6A,2024-09-30T00:44:15,13.58,
6A,2024-09-30T00:45:00,13.79,
6A,2024-09-30T00:45:45,13.5,
6A,2024-09-30T00:46:30,13.45,
6A,2024-09-30T00:47:15,13.35,
6A,2024-09-30T00:48:00,13.73,
6A,2024-09-30T00:48:45,13.7,
6A,2024-09-30T00:49:30,13.23,
6A,2024-09-30T00:50:15,13.120000000000001,
6A,2024-09-30T00:51:00,13.69,
6A,2024-09-30T00:51:45,14.19,
6A,2024-09-30T00:52:30,14.739999999999998,
6A,2024-09-30T00:53:15,14.729999999999999,
6A,2024-09-30T00:54:00,14.82,
6A,2024-09-30T00:54:45,17.08,
6A,2024-09-30T00:55:30,17.14,
6A,2024-09-30T00:56:15,17.0,
6A,2024-09-30T00:57:00,16.340000000000003,
6A,2024-09-30T00:57:45,16.740000000000002,
6A,2024-09-30T00:58:30,16.69,
6A,2024-09-30T00:59:15,17.12,
6A,2024-09-30T01:00:00,16.71,
6A,2024-09-30T01:00:45,16.68,
6A,2024-09-30T01:01:30,17.1,
6A,2024-09-30T01:02:15,16.509999999999998,
6A,2024-09-30T01:03:00,16.13,
6A,2024-09-30T01:03:45,15.85,
6A,2024-09-30T01:04:30,15.95,
6A,2024-09-30T01:05:15,15.869999999999997,
6A,2024-09-30T01:06:00,17.07,
6A,2024-09-30T01:06:45,16.53,
6A,2024-09-30T01:07:30,15.66,
6A,2024-09-30T01:08:15,15.61,
6A,2024-09-30T01:09:00,12.469999999999999,
6A,2024-09-30T01:09:45,13.15,
6A,2024-09-30T01:10:30,13.32,
6A,2024-09-30T01:11:15,12.98,
6A,2024-09-30T01:12:00,12.25,
6A,2024-09-30T01:12:45,12.700000000000001,
6A,2024-09-30T01:13:30,12.290000000000001,
6A,2024-09-30T01:14:15,12.13,
6A,2024-09-30T01:15:00,12.13,
6A,2024-09-30T01:15:45,12.26,
6A,2024-09-30T01:16:30,12.75,
6A,2024-09-30T01:17:15,12.899999999999999,
6A,2024-09-30T01:18:00,13.4,
6A,2024-09-30T01:18:45,13.629999999999999,
6A,2024-09-30T01:19:30,13.25,
6A,2024-09-30T01:20:15,13.200000000000001,
6A,2024-09-30T01:21:00,13.18,
6A,2024-09-30T01:21:45,13.6,
6A,2024-09-30T01:22:30,14.2,
6A,2024-09-30T01:23:15,13.010000000000002,
6A,2024-09-30T01:24:00,12.7,
6A,2024-09-30T01:24:45,13.590000000000002,
6A,2024-09-30T01:25:30,13.26,
6A,2024-09-30T01:26:15,13.34,
6A,2024-09-30T01:27:00,13.780000000000001,
6A,2024-09-30T01:27:45,14.03,
6A,2024-09-30T01:28:30,17.61,
6A,2024-09-30T01:29:15,16.9,
6A,2024-09-30T01:30:00,16.86,
6A,2024-09-30T01:30:45,16.9,
6A,2024-09-30T01:31:30,17.009999999999998,
6A,2024-09-30T01:32:15,17.1,
6A,2024-09-30T01:33:00,17.44,
6A,2024-09-30T01:33:45,17.599999999999998,
6A,2024-09-30T01:34:30,17.02,
6A,2024-09-30T01:35:15,17.66,
6A,2024-09-30T01:36:00,16.97,
6A,2024-09-30T01:36:45,17.799999999999997,
6A,2024-09-30T01:37:30,18.49,
6A,2024-09-30T01:38:15,17.52,
6A,2024-09-30T01:39:00,17.27,
6A,2024-09-30T01:39:45,17.15,
6A,2024-09-30T01:40:30,16.78,
6A,2024-09-30T01:41:15,17.38,
6A,2024-09-30T01:42:00,17.46,
6A,2024-09-30T01:42:45,13.36,
6A,2024-09-30T01:43:30,13.5,
6A,2024-09-30T01:44:15,13.71,
6A,2024-09-30T01:45:00,13.739999999999998,
6A,2024-09-30T01:45:45,13.31,
6A,2024-09-30T01:46:30,14.29,
6A,2024-09-30T01:47:15,14.23,
6A,2024-09-30T01:48:00,13.879999999999999,
6A,2024-09-30T01:48:45,13.99,
6A,2024-09-30T01:49:30,14.08,
6A,2024-09-30T01:50:15,14.48,
6A,2024-09-30T01:51:00,14.56,
6A,2024-09-30T01:51:45,15.049999999999999,
6A,2024-09-30T01:52:30,15.030000000000001,
6A,2024-09-30T01:53:15,14.530000000000001,
6A,2024-09-30T01:54:00,14.7,
6A,2024-09-30T01:54:45,14.81,
6A,2024-09-30T01:55:30,15.579999999999998,
6A,2024-09-30T01:56:15,14.13,
6A,2024-09-30T01:57:00,13.709999999999999,
6A,2024-09-30T01:57:45,14.21,
6A,2024-09-30T01:58:30,14.659999999999998,
6A,2024-09-30T01:59:15,14.479999999999999,
6A,2024-09-30T02:00:00,14.010000000000002,
6A,2024-09-30T02:00:45,14.79,
6A,2024-09-30T02:01:30,14.059999999999999,
6A,2024-09-30T02:02:15,17.27,
6A,2024-09-30T02:03:00,17.28,
6A,2024-09-30T02:03:45,17.47,
6A,2024-09-30T02:04:30,16.9,
6A,2024-09-30T02:05:15,16.88,
6A,2024-09-30T02:06:00,17.4,
6A,2024-09-30T02:06:45,18.240000000000002,
6A,2024-09-30T02:07:30,17.52,
6A,2024-09-30T02:08:15,17.08,
6A,2024-09-30T02:09:00,16.740000000000002,
6A,2024-09-30T02:09:45,16.91,
6A,2024-09-30T02:10:30,16.95,
6A,2024-09-30T02:11:15,17.31,
6A,2024-09-30T02:12:00,17.34,
6A,2024-09-30T02:12:45,16.669999999999998,
6A,2024-09-30T02:13:30,16.73,
6A,2024-09-30T02:14:15,17.85,
6A,2024-09-30T02:15:00,16.76,
6A,2024-09-30T02:15:45,16.65,
6A,2024-09-30T02:16:30,13.15,
6A,2024-09-30T02:17:15,13.670000000000002,
6A,2024-09-30T02:18:00,13.88,
6A,2024-09-30T02:18:45,13.45,
6A,2024-09-30T02:19:30,13.559999999999999,
6A,2024-09-30T02:20:15,13.78,
6A,2024-09-30T02:21:00,13.83,
6A,2024-09-30T02:21:45,14.009999999999998,
6A,2024-09-30T02:22:30,13.829999999999998,
6A,2024-09-30T02:23:15,13.66,
6A,2024-09-30T02:24:00,13.059999999999999,
6A,2024-09-30T02:24:45,13.74,
6A,2024-09-30T02:25:30,13.850000000000001,
6A,2024-09-30T02:26:15,13.21,
6A,2024-09-30T02:27:00,13.819999999999999,
6A,2024-09-30T02:27:45,13.739999999999998,
6A,2024-09-30T02:28:30,14.129999999999999,
6A,2024-09-30T02:29:15,14.36,
6A,2024-09-30T02:30:00,13.88,
6A,2024-09-30T02:30:45,14.620000000000001,
6A,2024-09-30T02:31:30,13.92,
6A,2024-09-30T02:32:15,13.86,
6A,2024-09-30T02:33:00,13.629999999999999,
6A,2024-09-30T02:33:45,13.64,
6A,2024-09-30T02:34:30,14.16,
6A,2024-09-30T02:35:15,16.479999999999997,
6A,2024-09-30T02:36:00,17.16,
6A,2024-09-30T02:36:45,17.57,
6A,2024-09-30T02:37:30,17.14,
6A,2024-09-30T02:38:15,16.67,
6A,2024-09-30T02:39:00,16.56,
6A,2024-09-30T02:39:45,16.93,
6A,2024-09-30T02:40:30,17.54,
6A,2024-09-30T02:41:15,17.28,
6A,2024-09-30T02:42:00,16.09,
6A,2024-09-30T02:42:45,16.13,
6A,2024-09-30T02:43:30,16.15,
6A,2024-09-30T02:44:15,16.06,
6A,2024-09-30T02:45:00,15.989999999999998,
6A,2024-09-30T02:45:45,17.19,
6A,2024-09-30T02:46:30,16.57,
6A,2024-09-30T02:47:15,16.65,
6A,2024-09-30T02:48:00,16.06,
6A,2024-09-30T02:48:45,12.570000000000002,
6A,2024-09-30T02:49:30,12.569999999999999,
6A,2024-09-30T02:50:15,12.46,
6A,2024-09-30T02:51:00,12.93,
6A,2024-09-30T02:51:45,13.04,
6A,2024-09-30T02:52:30,13.67,
6A,2024-09-30T02:53:15,13.520000000000001,
6A,2024-09-30T02:54:00,13.02,
6A,2024-09-30T02:54:45,13.059999999999999,
6A,2024-09-30T02:55:30,12.83,
6A,2024-09-30T02:56:15,13.16,
6A,2024-09-30T02:57:00,12.46,
6A,2024-09-30T02:57:45,12.260000000000002,
6A,2024-09-30T02:58:30,12.81,
6A,2024-09-30T02:59:15,12.290000000000001,
6A,2024-09-30T03:00:00,12.479999999999999,
6A,2024-09-30T03:00:45,12.540000000000001,
6A,2024-09-30T03:01:30,12.39,
6A,2024-09-30T03:02:15,13.33,
6A,2024-09-30T03:03:00,12.89,
6A,2024-09-30T03:03:45,13.43,
6A,2024-09-30T03:04:30,14.080000000000002,
6A,2024-09-30T03:05:15,13.08,
6A,2024-09-30T03:06:00,13.690000000000001,
6A,2024-09-30T03:06:45,14.670000000000002,
6A,2024-09-30T03:07:30,14.08,
6A,2024-09-30T03:08:15,17.07,
6A,2024-09-30T03:09:00,16.57,
6A,2024-09-30T03:09:45,16.48,
6A,2024-09-30T03:10:30,16.53,
6A,2024-09-30T03:11:15,16.56,
6A,2024-09-30T03:12:00,16.62,
6A,2024-09-30T03:12:45,16.57,
6A,2024-09-30T03:13:30,17.560000000000002,
6A,2024-09-30T03:14:15,17.78,
6A,2024-09-30T03:15:00,16.71,
6A,2024-09-30T03:15:45,17.01,
6A,2024-09-30T03:16:30,17.91,
6A,2024-09-30T03:17:15,17.44,
6A,2024-09-30T03:18:00,16.8,
6A,2024-09-30T03:18:45,16.82,
6A,2024-09-30T03:19:30,16.71,
6A,2024-09-30T03:20:15,16.57,
6A,2024-09-30T03:21:00,16.97,
6A,2024-09-30T03:21:45,13.299999999999999,
6A,2024-09-30T03:22:30,13.39,
6A,2024-09-30T03:23:15,13.16,
6A,2024-09-30T03:24:00,13.27,
6A,2024-09-30T03:24:45,14.39,
6A,2024-09-30T03:25:30,13.77,
6A,2024-09-30T03:26:15,13.200000000000001,
6A,2024-09-30T03:27:00,13.19,
6A,2024-09-30T03:27:45,13.9,
6A,2024-09-30T03:28:30,13.91,
6A,2024-09-30T03:29:15,13.48,
6A,2024-09-30T03:30:00,13.37,
6A,2024-09-30T03:30:45,13.600000000000001,
6A,2024-09-30T03:31:30,13.77,
6A,2024-09-30T03:32:15,13.88,
6A,2024-09-30T03:33:00,13.840000000000002,
6A,2024-09-30T03:33:45,13.780000000000001,
6A,2024-09-30T03:34:30,14.93,
6A,2024-09-30T03:35:15,14.81,
6A,2024-09-30T03:36:00,14.23,
6A,2024-09-30T03:36:45,13.660000000000002,
6A,2024-09-30T03:37:30,13.879999999999999,
6A,2024-09-30T03:38:15,13.7,
6A,2024-09-30T03:39:00,14.829999999999998,
6A,2024-09-30T03:39:45,14.71,
6A,2024-09-30T03:40:30,13.92,
6A,2024-09-30T03:41:15,14.7,
6A,2024-09-30T03:42:00,16.990000000000002,
6A,2024-09-30T03:42:45,17.01,
6A,2024-09-30T03:43:30,16.34,
6A,2024-09-30T03:44:15,16.29,
6A,2024-09-30T03:45:00,16.05,
6A,2024-09-30T03:45:45,16.520000000000003,
6A,2024-09-30T03:46:30,16.03,
6A,2024-09-30T03:47:15,16.57,
6A,2024-09-30T03:48:00,16.62,
