series,timestamp,value,label
11A,2024-04-01T08:35:45Z,80.4,
11A,2024-04-01T08:36:00Z,75.83000000000001,
11A,2024-04-01T08:36:15Z,75.89,
11A,2024-04-01T08:36:30Z,73.71000000000001,
11A,2024-04-01T08:36:45Z,73.35,
11A,2024-04-01T08:37:00Z,73.25,
11A,2024-04-01T08:37:15Z,88.84,
11A,2024-04-01T08:37:30Z,88.73,
11A,2024-04-01T08:37:45Z,97.09,
11A,2024-04-01T08:38:00Z,93.27,
11A,2024-04-01T08:38:15Z,92.76,
11A,2024-04-01T08:38:30Z,92.47,
11A,2024-04-01T08:38:45Z,92.5,
11A,2024-04-01T08:39:00Z,92.68,
11A,2024-04-01T08:39:15Z,92.75,
11A,2024-04-01T08:39:30Z,94.96,
11A,2024-04-01T08:39:45Z,95.12,
11A,2024-04-01T08:40:00Z,95.42,
11A,2024-04-01T08:40:15Z,96.07,
11A,2024-04-01T08:40:30Z,96.03,
11A,2024-04-01T08:40:45Z,95.1,
11A,2024-04-01T08:41:00Z,94.99,
11A,2024-04-01T08:41:15Z,95.07,
11A,2024-04-01T08:41:30Z,95.3,
11A,2024-04-01T08:41:45Z,80.48,
11A,2024-04-01T08:42:00Z,80.72,
11A,2024-04-01T08:42:15Z,80.73,
11A,2024-04-01T08:42:30Z,77.63,
11A,2024-04-01T08:42:45Z,77.63,
11A,2024-04-01T08:43:00Z,82.71000000000001,
11A,2024-04-01T08:43:15Z,82.72999999999999,
11A,2024-04-01T08:43:30Z,82.69,
11A,2024-04-01T08:43:45Z,82.77000000000001,
11A,2024-04-01T08:44:00Z,82.88,
11A,2024-04-01T08:44:15Z,82.79,
11A,2024-04-01T08:44:30Z,82.69,
11A,2024-04-01T08:44:45Z,82.09,
11A,2024-04-01T08:45:00Z,82.12,
11A,2024-04-01T08:45:15Z,82.64999999999999,
11A,2024-04-01T08:45:30Z,82.58,
11A,2024-04-01T08:45:45Z,82.89,
11A,2024-04-01T08:46:00Z,82.98,
11A,2024-04-01T08:46:15Z,78.14,
11A,2024-04-01T08:46:30Z,73.73,
11A,2024-04-01T08:46:45Z,73.85,
11A,2024-04-01T08:47:00Z,73.75,
11A,2024-04-01T08:47:15Z,73.91999999999999,
11A,2024-04-01T08:47:30Z,73.57000000000001,
11A,2024-04-01T08:47:45Z,74.3,
11A,2024-04-01T08:48:00Z,74.13,
11A,2024-04-01T08:48:15Z,74.24,
11A,2024-04-01T08:48:30Z,74.17,
11A,2024-04-01T08:48:45Z,73.95,
11A,2024-04-01T08:49:00Z,73.84,
11A,2024-04-01T08:49:15Z,73.71,
11A,2024-04-01T08:49:30Z,72.98,
11A,2024-04-01T08:49:45Z,87.88,
11A,2024-04-01T08:50:00Z,87.88999999999999,
11A,2024-04-01T08:50:15Z,87.56,
11A,2024-04-01T08:50:30Z,87.55999999999999,
11A,2024-04-01T08:50:45Z,87.81,
11A,2024-04-01T08:51:00Z,88.78,
11A,2024-04-01T08:51:15Z,92.53,
11A,2024-04-01T08:51:30Z,92.25,
11A,2024-04-01T08:51:45Z,91.94,
11A,2024-04-01T08:52:00Z,91.57,
11A,2024-04-01T08:52:15Z,92.13,
11A,2024-04-01T08:52:30Z,92.09,
11A,2024-04-01T08:52:45Z,91.86,
11A,2024-04-01T08:53:00Z,99.43,
11A,2024-04-01T08:53:15Z,101.5,
11A,2024-04-01T08:53:30Z,102.1,
11A,2024-04-01T08:53:45Z,101.38,
11A,2024-04-01T08:54:00Z,101.11,
11A,2024-04-01T08:54:15Z,100.87,
11A,2024-04-01T08:54:30Z,86.25,
11A,2024-04-01T08:54:45Z,86.26,
11A,2024-04-01T08:55:00Z,86.41,
11A,2024-04-01T08:55:15Z,86.12,
11A,2024-04-01T08:55:30Z,86.07,
11A,2024-04-01T08:55:45Z,86.00999999999999,
11A,2024-04-01T08:56:00Z,86.49,
11A,2024-04-01T08:56:15Z,86.03,
11A,2024-04-01T08:56:30Z,81.17,
11A,2024-04-01T08:56:45Z,81.02000000000001,
11A,2024-04-01T08:57:00Z,80.97,
11A,2024-04-01T08:57:15Z,81.15,
11A,2024-04-01T08:57:30Z,81.13,
11A,2024-04-01T08:57:45Z,81.9,
11A,2024-04-01T08:58:00Z,82.15,
11A,2024-04-01T08:58:15Z,83.08,
11A,2024-04-01T08:58:30Z,83.35,
11A,2024-04-01T08:58:45Z,83.61,
11A,2024-04-01T08:59:00Z,83.65,
11A,2024-04-01T08:59:15Z,83.73,
11A,2024-04-01T08:59:30Z,84.16,
11A,2024-04-01T08:59:45Z,84.15,
11A,2024-04-01T09:00:00Z,84.31,
11A,2024-04-01T09:00:15Z,83.85000000000001,
11A,2024-04-01T09:00:30Z,82.23,
11A,2024-04-01T09:00:45Z,79.57000000000001,
11A,2024-04-01T09:01:00Z,79.81,
11A,2024-04-01T09:01:15Z,79.62,
11A,2024-04-01T09:01:30Z,79.37,
11A,2024-04-01T09:01:45Z,79.27,
11A,2024-04-01T09:02:00Z,78.80000000000001,
11A,2024-04-01T09:02:15Z,74.72,
11A,2024-04-01T09:02:30Z,80.12,
11A,2024-04-01T09:02:45Z,96.82999999999998,
11A,2024-04-01T09:03:00Z,98.04,
11A,2024-04-01T09:03:15Z,98.71,
11A,2024-04-01T09:03:30Z,99.12,
11A,2024-04-01T09:03:45Z,105.07,
11A,2024-04-01T09:04:00Z,105.6,
11A,2024-04-01T09:04:15Z,105.25,
11A,2024-04-01T09:04:30Z,105.24,
11A,2024-04-01T09:04:45Z,105.47,
11A,2024-04-01T09:05:00Z,105.84,
11A,2024-04-01T09:05:15Z,106.02,
11A,2024-04-01T09:05:30Z,105.96,
11A,2024-04-01T09:05:45Z,107.01,
11A,2024-04-01T09:06:00Z,105.16,
11A,2024-04-01T09:06:15Z,104.48,
11A,2024-04-01T09:06:30Z,103.39,
11A,2024-04-01T09:06:45Z,102.93,
11A,2024-04-01T09:07:00Z,98.0,
11A,2024-04-01T09:07:15Z,97.82,
11A,2024-04-01T09:07:30Z,83.03999999999999,
11A,2024-04-01T09:07:45Z,83.25999999999999,
11A,2024-04-01T09:08:00Z,83.26,
11A,2024-04-01T09:08:15Z,83.58,
11A,2024-04-01T09:08:30Z,83.23,
11A,2024-04-01T09:08:45Z,83.76,
11A,2024-04-01T09:09:00Z,96.85,
11A,2024-04-01T09:09:15Z,89.16,
11A,2024-04-01T09:09:30Z,92.17,
11A,2024-04-01T09:09:45Z,91.33,
11A,2024-04-01T09:10:00Z,91.01,
11A,2024-04-01T09:10:15Z,91.01,
11A,2024-04-01T09:10:30Z,92.15,
11A,2024-04-01T09:10:45Z,91.28,
11A,2024-04-01T09:11:00Z,91.48,
11A,2024-04-01T09:11:15Z,91.45,
11A,2024-04-01T09:11:30Z,93.53,
11A,2024-04-01T09:11:45Z,91.07,
11A,2024-04-01T09:12:00Z,90.69,
11A,2024-04-01T09:12:15Z,90.73,
11A,2024-04-01T09:12:30Z,90.27,
11A,2024-04-01T09:12:45Z,90.38,
11A,2024-04-01T09:13:00Z,91.63,
11A,2024-04-01T09:13:15Z,90.81,
11A,2024-04-01T09:13:30Z,89.3,
11A,2024-04-01T09:13:45Z,87.84,
11A,2024-04-01T09:14:00Z,87.69,
11A,2024-04-01T09:14:15Z,87.69,
11A,2024-04-01T09:14:30Z,93.19,
11A,2024-04-01T09:14:45Z,96.35,
11A,2024-04-01T09:15:00Z,96.36,
11A,2024-04-01T09:15:15Z,96.69,
11A,2024-04-01T09:15:30Z,97.28,
11A,2024-04-01T09:15:45Z,97.61,
11A,2024-04-01T09:16:00Z,112.95,
11A,2024-04-01T09:16:15Z,113.88,
11A,2024-04-01T09:16:30Z,115.78,
11A,2024-04-01T09:16:45Z,111.62,
11A,2024-04-01T09:17:00Z,112.16,
11A,2024-04-01T09:17:15Z,112.28,
11A,2024-04-01T09:17:30Z,107.44,
11A,2024-04-01T09:17:45Z,107.92,
11A,2024-04-01T09:18:00Z,111.44,
11A,2024-04-01T09:18:15Z,110.91,
11A,2024-04-01T09:18:30Z,110.54000000000002,
11A,2024-04-01T09:18:45Z,107.13,
11A,2024-04-01T09:19:00Z,107.26,
11A,2024-04-01T09:19:15Z,107.4,
11A,2024-04-01T09:19:30Z,107.5,
11A,2024-04-01T09:19:45Z,107.25,
11A,2024-04-01T09:20:00Z,107.18999999999998,
11A,2024-04-01T09:20:15Z,107.02,
11A,2024-04-01T09:20:30Z,106.9,
11A,2024-04-01T09:20:45Z,91.66,
11A,2024-04-01T09:21:00Z,91.12,
11A,2024-04-01T09:21:15Z,91.17,
11A,2024-04-01T09:21:30Z,90.41,
11A,2024-04-01T09:21:45Z,89.42,
11A,2024-04-01T09:22:00Z,89.25,
11A,2024-04-01T09:22:15Z,88.81,
11A,2024-04-01T09:22:30Z,88.33,
11A,2024-04-01T09:22:45Z,88.27,
11A,2024-04-01T09:23:00Z,87.82,
11A,2024-04-01T09:23:15Z,87.59,
11A,2024-04-01T09:23:30Z,87.19,
11A,2024-04-01T09:23:45Z,86.96000000000001,
11A,2024-04-01T09:24:00Z,91.22,
11A,2024-04-01T09:24:15Z,91.36,
11A,2024-04-01T09:24:30Z,100.59,
11A,2024-04-01T09:24:45Z,96.37,
11A,2024-04-01T09:25:00Z,96.28,
11A,2024-04-01T09:25:15Z,96.0,
11A,2024-04-01T09:25:30Z,94.82,
11A,2024-04-01T09:25:45Z,94.76,
11A,2024-04-01T09:26:00Z,95.0,
11A,2024-04-01T09:26:15Z,95.52,
11A,2024-04-01T09:26:30Z,95.49,
11A,2024-04-01T09:26:45Z,95.35,
11A,2024-04-01T09:27:00Z,95.35,
11A,2024-04-01T09:27:15Z,95.72,
11A,2024-04-01T09:27:30Z,91.19,
11A,2024-04-01T09:27:45Z,94.2,
11A,2024-04-01T09:28:00Z,93.74,
11A,2024-04-01T09:28:15Z,93.36,
11A,2024-04-01T09:28:30Z,94.05,
11A,2024-04-01T09:28:45Z,94.27,
11A,2024-04-01T09:29:00Z,94.15,
11A,2024-04-01T09:29:15Z,94.1,
11A,2024-04-01T09:29:30Z,109.17,
11A,2024-04-01T09:29:45Z,109.56,
11A,2024-04-01T09:30:00Z,110.2,
11A,2024-04-01T09:30:15Z,110.73,
11A,2024-04-01T09:30:30Z,111.05,
11A,2024-04-01T09:30:45Z,111.29,
11A,2024-04-01T09:31:00Z,111.77,
11A,2024-04-01T09:31:15Z,112.16,
11A,2024-04-01T09:31:30Z,106.2,
11A,2024-04-01T09:31:45Z,103.37,
