series,timestamp,value,label
2A,2024-07-01T00:00:00Z,14.35,
2A,2024-07-01T00:00:15Z,14.36,
2A,2024-07-01T00:00:30Z,14.35,
2A,2024-07-01T00:00:45Z,14.36,
2A,2024-07-01T00:01:00Z,14.26,
2A,2024-07-01T00:01:15Z,14.3,
2A,2024-07-01T00:01:30Z,14.32,
2A,2024-07-01T00:01:45Z,14.69,
2A,2024-07-01T00:02:00Z,14.25,
2A,2024-07-01T00:02:15Z,14.22,
2A,2024-07-01T00:02:30Z,14.22,
2A,2024-07-01T00:02:45Z,14.17,
2A,2024-07-01T00:03:00Z,14.19,
2A,2024-07-01T00:03:15Z,14.22,
2A,2024-07-01T00:03:30Z,14.2,
2A,2024-07-01T00:03:45Z,13.76,
2A,2024-07-01T00:04:00Z,17.25,
2A,2024-07-01T00:04:15Z,13.97,
2A,2024-07-01T00:04:30Z,14.28,
2A,2024-07-01T00:04:45Z,14.97,
2A,2024-07-01T00:05:00Z,14.32,
2A,2024-07-01T00:05:15Z,14.92,
2A,2024-07-01T00:05:30Z,14.28,
2A,2024-07-01T00:05:45Z,15.27,
2A,2024-07-01T00:06:00Z,14.329999999999998,
2A,2024-07-01T00:06:15Z,15.94,
2A,2024-07-01T00:06:30Z,16.04,
2A,2024-07-01T00:06:45Z,16.04,
2A,2024-07-01T00:07:00Z,16.04,
2A,2024-07-01T00:07:15Z,15.98,
2A,2024-07-01T00:07:30Z,15.63,
2A,2024-07-01T00:07:45Z,15.48,
2A,2024-07-01T00:08:00Z,15.47,
2A,2024-07-01T00:08:15Z,15.47,
2A,2024-07-01T00:08:30Z,15.47,
2A,2024-07-01T00:08:45Z,15.46,
2A,2024-07-01T00:09:00Z,15.489999999999998,
2A,2024-07-01T00:09:15Z,15.48,
2A,2024-07-01T00:09:30Z,15.47,
2A,2024-07-01T00:09:45Z,15.5,
2A,2024-07-01T00:10:00Z,15.5,
2A,2024-07-01T00:10:15Z,15.509999999999998,
2A,2024-07-01T00:10:30Z,17.64,
2A,2024-07-01T00:10:45Z,17.53,
2A,2024-07-01T00:11:00Z,17.48,
2A,2024-07-01T00:11:15Z,17.51,
2A,2024-07-01T00:11:30Z,17.49,
2A,2024-07-01T00:11:45Z,17.71,
2A,2024-07-01T00:12:00Z,17.66,
2A,2024-07-01T00:12:15Z,17.65,
2A,2024-07-01T00:12:30Z,17.63,
2A,2024-07-01T00:12:45Z,21.0,
2A,2024-07-01T00:13:00Z,17.669999999999998,
2A,2024-07-01T00:13:15Z,17.65,
2A,2024-07-01T00:13:30Z,17.580000000000002,
2A,2024-07-01T00:13:45Z,18.49,
2A,2024-07-01T00:14:00Z,18.56,
