series,timestamp,value,label
2A,2025-06-01T00:00:00Z,9.774679184,
2A,2025-06-01T00:00:15Z,9.665470004000001,
2A,2025-06-01T00:00:30Z,9.829285383,
2A,2025-06-01T00:00:45Z,9.776804923,
2A,2025-06-01T00:01:00Z,9.747227192,
2A,2025-06-01T00:01:15Z,9.756633877,
2A,2025-06-01T00:01:30Z,9.727312684000001,
2A,2025-06-01T00:01:45Z,9.727434635,
2A,2025-06-01T00:02:00Z,9.742663741000001,
2A,2025-06-01T00:02:15Z,9.723290085999999,
2A,2025-06-01T00:02:30Z,9.654869913999999,
2A,2025-06-01T00:02:45Z,9.673236131,
2A,2025-06-01T00:03:00Z,9.750175,
2A,2025-06-01T00:03:15Z,9.752305269,
2A,2025-06-01T00:03:30Z,9.718888044,
2A,2025-06-01T00:03:45Z,9.397278785000001,
2A,2025-06-01T00:04:00Z,9.211855887999999,
2A,2025-06-01T00:04:15Z,9.199106216,
2A,2025-06-01T00:04:30Z,9.198810100000001,
2A,2025-06-01T00:04:45Z,9.313925743,
2A,2025-06-01T00:05:00Z,8.876395464,
2A,2025-06-01T00:05:15Z,8.922766686,
2A,2025-06-01T00:05:30Z,9.480899333,
2A,2025-06-01T00:05:45Z,9.448564768,
2A,2025-06-01T00:06:00Z,9.45707941,
2A,2025-06-01T00:06:15Z,7.935486555,
2A,2025-06-01T00:06:30Z,7.916993141000001,
2A,2025-06-01T00:06:45Z,7.806641459,
2A,2025-06-01T00:07:00Z,7.941906214,
2A,2025-06-01T00:07:15Z,8.144294977000001,
2A,2025-06-01T00:07:30Z,8.057773352,
2A,2025-06-01T00:07:45Z,7.523895026,
2A,2025-06-01T00:08:00Z,7.57428813,
2A,2025-06-01T00:08:15Z,8.826438189,
2A,2025-06-01T00:08:30Z,7.544918537,
2A,2025-06-01T00:08:45Z,7.514668941,
2A,2025-06-01T00:09:00Z,7.408112644999999,
2A,2025-06-01T00:09:15Z,9.053467035,
2A,2025-06-01T00:09:30Z,8.920561552,
2A,2025-06-01T00:09:45Z,8.94816351,
2A,2025-06-01T00:10:00Z,8.961814642,
2A,2025-06-01T00:10:15Z,8.981997251,
2A,2025-06-01T00:10:30Z,9.444778204,
2A,2025-06-01T00:10:45Z,9.416997671,
2A,2025-06-01T00:11:00Z,9.442022324,
2A,2025-06-01T00:11:15Z,9.555911541,
2A,2025-06-01T00:11:30Z,8.840386389999999,
2A,2025-06-01T00:11:45Z,8.839065791,
2A,2025-06-01T00:12:00Z,8.86439228,
2A,2025-06-01T00:12:15Z,8.956349611,
2A,2025-06-01T00:12:30Z,8.941295624,
2A,2025-06-01T00:12:45Z,8.928026437,
2A,2025-06-01T00:13:00Z,8.938827515,
2A,2025-06-01T00:13:15Z,8.85088861,
2A,2025-06-01T00:13:30Z,8.954627275,
2A,2025-06-01T00:13:45Z,8.901192189,
2A,2025-06-01T00:14:00Z,8.913900137,
2A,2025-06-01T00:14:15Z,9.002465605,
2A,2025-06-01T00:14:30Z,9.010866881,
2A,2025-06-01T00:14:45Z,9.674094915,
2A,2025-06-01T00:15:00Z,9.618768693,
2A,2025-06-01T00:15:15Z,9.63969922,
2A,2025-06-01T00:15:30Z,13.934741974,
2A,2025-06-01T00:15:45Z,13.702602983,
2A,2025-06-01T00:16:00Z,13.650301457,
2A,2025-06-01T00:16:15Z,13.596564173,
2A,2025-06-01T00:16:30Z,12.949442028999998,
2A,2025-06-01T00:16:45Z,13.081259249999999,
2A,2025-06-01T00:17:00Z,13.034364581000002,
2A,2025-06-01T00:17:15Z,13.964389681,
2A,2025-06-01T00:17:30Z,13.995277284999998,
2A,2025-06-01T00:17:45Z,14.492269754999999,
2A,2025-06-01T00:18:00Z,14.295685053,
2A,2025-06-01T00:18:15Z,14.281061172,
2A,2025-06-01T00:18:30Z,14.343936205,
2A,2025-06-01T00:18:45Z,14.316677094000001,
2A,2025-06-01T00:19:00Z,14.321341991,
2A,2025-06-01T00:19:15Z,14.311226369000002,
2A,2025-06-01T00:19:30Z,15.458229303,
2A,2025-06-01T00:19:45Z,14.301303147999999,
2A,2025-06-01T00:20:00Z,14.450145722,
2A,2025-06-01T00:20:15Z,15.89132905,
2A,2025-06-01T00:20:30Z,14.398417711,
2A,2025-06-01T00:20:45Z,14.396529674,
2A,2025-06-01T00:21:00Z,10.353761912,
2A,2025-06-01T00:21:15Z,11.199481963,
2A,2025-06-01T00:21:30Z,10.547930479000001,
2A,2025-06-01T00:21:45Z,11.132680416,
2A,2025-06-01T00:22:00Z,10.997835159000001,
2A,2025-06-01T00:22:15Z,12.660647392,
2A,2025-06-01T00:22:30Z,12.569756270000001,
2A,2025-06-01T00:22:45Z,12.440205574,
2A,2025-06-01T00:23:00Z,11.66751051,
2A,2025-06-01T00:23:15Z,10.459288121,
