series,timestamp,value,label
6A,2024-12-01T00:00:00Z,17.880000000000003,
6A,2024-12-01T00:00:15Z,14.41,
6A,2024-12-01T00:00:30Z,14.11,
6A,2024-12-01T00:00:45Z,14.64,
6A,2024-12-01T00:01:00Z,13.98,
6A,2024-12-01T00:01:15Z,13.95,
6A,2024-12-01T00:01:30Z,14.18,
6A,2024-12-01T00:01:45Z,13.759999999999998,
6A,2024-12-01T00:02:00Z,13.88,
6A,2024-12-01T00:02:15Z,14.34,
6A,2024-12-01T00:02:30Z,13.84,
6A,2024-12-01T00:02:45Z,14.2,
6A,2024-12-01T00:03:00Z,13.84,
6A,2024-12-01T00:03:15Z,13.83,
6A,2024-12-01T00:03:30Z,14.02,
6A,2024-12-01T00:03:45Z,13.79,
6A,2024-12-01T00:04:00Z,14.1,
6A,2024-12-01T00:04:15Z,13.7,
6A,2024-12-01T00:04:30Z,13.75,
6A,2024-12-01T00:04:45Z,14.26,
6A,2024-12-01T00:05:00Z,14.31,
6A,2024-12-01T00:05:15Z,16.23,
6A,2024-12-01T00:05:30Z,15.03,
6A,2024-12-01T00:05:45Z,15.18,
6A,2024-12-01T00:06:00Z,15.05,
6A,2024-12-01T00:06:15Z,14.88,
6A,2024-12-01T00:06:30Z,14.55,
6A,2024-12-01T00:06:45Z,14.46,
6A,2024-12-01T00:07:00Z,14.51,
6A,2024-12-01T00:07:15Z,14.73,
6A,2024-12-01T00:07:30Z,15.12,
6A,2024-12-01T00:07:45Z,14.43,
6A,2024-12-01T00:08:00Z,16.490000000000002,
6A,2024-12-01T00:08:15Z,14.89,
6A,2024-12-01T00:08:30Z,14.96,
6A,2024-12-01T00:08:45Z,14.3,
6A,2024-12-01T00:09:00Z,14.65,
6A,2024-12-01T00:09:15Z,13.8,
6A,2024-12-01T00:09:30Z,14.33,
6A,2024-12-01T00:09:45Z,15.43,
6A,2024-12-01T00:10:00Z,14.68,
6A,2024-12-01T00:10:15Z,14.1,
6A,2024-12-01T00:10:30Z,14.21,
6A,2024-12-01T00:10:45Z,14.829999999999998,
6A,2024-12-01T00:11:00Z,15.02,
6A,2024-12-01T00:11:15Z,15.04,
6A,2024-12-01T00:11:30Z,15.1,
6A,2024-12-01T00:11:45Z,15.010000000000002,
6A,2024-12-01T00:12:00Z,15.11,
6A,2024-12-01T00:12:15Z,14.3,
6A,2024-12-01T00:12:30Z,14.41,
6A,2024-12-01T00:12:45Z,14.16,
