series,timestamp,value,label
11A,2024-04-01 08:35:45+00:00,80.4,
11A,2024-04-01 08:36:00+00:00,75.83000000000001,
11A,2024-04-01 08:36:15+00:00,75.89,
11A,2024-04-01 08:36:30+00:00,73.71000000000001,
11A,2024-04-01 08:36:45+00:00,73.35,
11A,2024-04-01 08:37:00+00:00,73.25,
11A,2024-04-01 08:37:15+00:00,88.84,
11A,2024-04-01 08:37:30+00:00,88.73,
11A,2024-04-01 08:37:45+00:00,97.09,
11A,2024-04-01 08:38:00+00:00,93.27,
11A,2024-04-01 08:38:15+00:00,92.76,
11A,2024-04-01 08:38:30+00:00,92.47,
11A,2024-04-01 08:38:45+00:00,92.5,
11A,2024-04-01 08:39:00+00:00,92.68,
11A,2024-04-01 08:39:15+00:00,92.75,
11A,2024-04-01 08:39:30+00:00,94.96,
11A,2024-04-01 08:39:45+00:00,95.12,
11A,2024-04-01 08:40:00+00:00,95.42,
11A,2024-04-01 08:40:15+00:00,96.07,
11A,2024-04-01 08:40:30+00:00,96.03,
11A,2024-04-01 08:40:45+00:00,95.1,
11A,2024-04-01 08:41:00+00:00,94.99,
11A,2024-04-01 08:41:15+00:00,95.07,
11A,2024-04-01 08:41:30+00:00,95.3,
11A,2024-04-01 08:41:45+00:00,80.48,
11A,2024-04-01 08:42:00+00:00,80.72,
11A,2024-04-01 08:42:15+00:00,80.73,
11A,2024-04-01 08:42:30+00:00,77.63,
11A,2024-04-01 08:42:45+00:00,77.63,
11A,2024-04-01 08:43:00+00:00,82.71000000000001,
11A,2024-04-01 08:43:15+00:00,82.72999999999999,
11A,2024-04-01 08:43:30+00:00,82.69,
11A,2024-04-01 08:43:45+00:00,82.77000000000001,
11A,2024-04-01 08:44:00+00:00,82.88,
11A,2024-04-01 08:44:15+00:00,82.79,
11A,2024-04-01 08:44:30+00:00,82.69,
11A,2024-04-01 08:44:45+00:00,82.09,
11A,2024-04-01 08:45:00+00:00,82.12,
11A,2024-04-01 08:45:15+00:00,82.64999999999999,
11A,2024-04-01 08:45:30+00:00,82.58,
11A,2024-04-01 08:45:45+00:00,82.89,
11A,2024-04-01 08:46:00+00:00,82.98,
11A,2024-04-01 08:46:15+00:00,78.14,
11A,2024-04-01 08:46:30+00:00,73.73,
11A,2024-04-01 08:46:45+00:00,73.85,
11A,2024-04-01 08:47:00+00:00,73.75,
11A,2024-04-01 08:47:15+00:00,73.91999999999999,
11A,2024-04-01 08:47:30+00:00,73.57000000000001,
11A,2024-04-01 08:47:45+00:00,74.3,
11A,2024-04-01 08:48:00+00:00,74.13,
11A,2024-04-01 08:48:15+00:00,74.24,
11A,2024-04-01 08:48:30+00:00,74.17,
11A,2024-04-01 08:48:45+00:00,73.95,
11A,2024-04-01 08:49:00+00:00,73.84,
11A,2024-04-01 08:49:15+00:00,73.71,
11A,2024-04-01 08:49:30+00:00,72.98,
11A,2024-04-01 08:49:45+00:00,87.88,
11A,2024-04-01 08:50:00+00:00,87.88999999999999,
11A,2024-04-01 08:50:15+00:00,87.56,
11A,2024-04-01 08:50:30+00:00,87.55999999999999,
11A,2024-04-01 08:50:45+00:00,87.81,
11A,2024-04-01 08:51:00+00:00,88.78,
11A,2024-04-01 08:51:15+00:00,92.53,
11A,2024-04-01 08:51:30+00:00,92.25,
11A,2024-04-01 08:51:45+00:00,91.94,
11A,2024-04-01 08:52:00+00:00,91.57,
11A,2024-04-01 08:52:15+00:00,92.13,
11A,2024-04-01 08:52:30+00:00,92.09,
11A,2024-04-01 08:52:45+00:00,91.86,
11A,2024-04-01 08:53:00+00:00,99.43,
11A,2024-04-01 08:53:15+00:00,101.5,
11A,2024-04-01 08:53:30+00:00,102.1,
11A,2024-04-01 08:53:45+00:00,101.38,
11A,2024-04-01 08:54:00+00:00,101.11,
11A,2024-04-01 08:54:15+00:00,100.87,
11A,2024-04-01 08:54:30+00:00,86.25,
11A,2024-04-01 08:54:45+00:00,86.26,
11A,2024-04-01 08:55:00+00:00,86.41,
11A,2024-04-01 08:55:15+00:00,86.12,
