series,timestamp,value,label
2A,2024-10-01 00:00:15+00:00,10.87,
2A,2024-10-01 00:01:00+00:00,11.27,
2A,2024-10-01 00:01:45+00:00,11.25,
2A,2024-10-01 00:02:30+00:00,11.96,
2A,2024-10-01 00:03:15+00:00,12.32,
2A,2024-10-01 00:04:00+00:00,11.26,
2A,2024-10-01 00:04:45+00:00,9.88,
2A,2024-10-01 00:05:30+00:00,9.88,
2A,2024-10-01 00:06:15+00:00,10.1,
2A,2024-10-01 00:07:00+00:00,10.63,
2A,2024-10-01 00:07:45+00:00,10.38,
2A,2024-10-01 00:08:30+00:00,10.37,
2A,2024-10-01 00:09:15+00:00,11.33,
2A,2024-10-01 00:10:00+00:00,11.25,
2A,2024-10-01 00:10:46+00:00,11.2,
2A,2024-10-01 00:11:30+00:00,12.47,
2A,2024-10-01 00:12:15+00:00,12.44,
2A,2024-10-01 00:13:00+00:00,12.48,
2A,2024-10-01 00:13:46+00:00,12.47,
2A,2024-10-01 00:14:30+00:00,11.439999999999998,
2A,2024-10-01 00:15:15+00:00,11.439999999999998,
2A,2024-10-01 00:16:01+00:00,11.420000000000002,
2A,2024-10-01 00:16:45+00:00,12.510000000000002,
2A,2024-10-01 00:17:30+00:00,11.5,
2A,2024-10-01 00:18:15+00:00,12.14,
2A,2024-10-01 00:19:00+00:00,11.39,
2A,2024-10-01 00:21:15+00:00,12.13,
2A,2024-10-01 00:22:00+00:00,11.61,
2A,2024-10-01 00:22:45+00:00,11.88,
2A,2024-10-01 00:25:00+00:00,11.34,
2A,2024-10-01 00:25:45+00:00,11.01,
2A,2024-10-01 00:26:30+00:00,10.98,
2A,2024-10-01 00:27:15+00:00,10.98,
2A,2024-10-01 00:28:00+00:00,10.99,
2A,2024-10-01 00:28:45+00:00,11.89,
2A,2024-10-01 00:29:33+00:00,11.9,
2A,2024-10-01 00:30:15+00:00,12.15,
2A,2024-10-01 00:31:00+00:00,12.12,
2A,2024-10-01 00:31:45+00:00,12.36,
2A,2024-10-01 00:32:30+00:00,12.77,
2A,2024-10-01 00:33:15+00:00,13.38,
2A,2024-10-01 00:34:00+00:00,13.31,
2A,2024-10-01 00:34:45+00:00,11.910000000000002,
2A,2024-10-01 00:35:31+00:00,11.35,
2A,2024-10-01 00:36:15+00:00,10.95,
2A,2024-10-01 00:37:00+00:00,10.93,
2A,2024-10-01 00:37:45+00:00,10.920000000000002,
2A,2024-10-01 00:38:30+00:00,10.73,
2A,2024-10-01 00:39:15+00:00,10.77,
2A,2024-10-01 00:40:00+00:00,10.74,
2A,2024-10-01 00:40:45+00:00,10.760000000000002,
2A,2024-10-01 00:41:30+00:00,10.72,
2A,2024-10-01 00:42:15+00:00,10.72,
2A,2024-10-01 00:44:30+00:00,11.9,
2A,2024-10-01 00:45:15+00:00,12.45,
2A,2024-10-01 00:46:00+00:00,12.86,
2A,2024-10-01 00:46:45+00:00,13.03,
2A,2024-10-01 00:47:32+00:00,13.63,
2A,2024-10-01 00:49:45+00:00,11.79,
2A,2024-10-01 00:50:30+00:00,11.77,
2A,2024-10-01 00:51:15+00:00,11.86,
2A,2024-10-01 00:52:00+00:00,10.92,
2A,2024-10-01 00:52:45+00:00,10.92,
2A,2024-10-01 00:53:31+00:00,10.94,
2A,2024-10-01 00:54:15+00:00,10.99,
2A,2024-10-01 00:55:00+00:00,11.239999999999998,
2A,2024-10-01 00:55:45+00:00,11.19,
2A,2024-10-01 00:56:30+00:00,11.27,
2A,2024-10-01 00:57:15+00:00,11.55,
2A,2024-10-01 00:58:00+00:00,11.46,
2A,2024-10-01 00:58:45+00:00,11.13,
2A,2024-10-01 00:59:30+00:00,11.11,
2A,2024-10-01 01:00:15+00:00,11.66,
2A,2024-10-01 01:01:00+00:00,11.69,
