series,timestamp,value,label
6A,2024-09-30 00:00:00+00:00,17.380000000000003,
6A,2024-09-30 00:00:45+00:00,16.91,
6A,2024-09-30 00:01:30+00:00,16.86,
6A,2024-09-30 00:02:15+00:00,13.28,
6A,2024-09-30 00:03:00+00:00,13.77,
6A,2024-09-30 00:03:45+00:00,13.8,
6A,2024-09-30 00:04:30+00:00,13.66,
6A,2024-09-30 00:05:15+00:00,14.14,
6A,2024-09-30 00:06:00+00:00,14.849999999999998,
6A,2024-09-30 00:06:45+00:00,14.029999999999998,
6A,2024-09-30 00:07:30+00:00,15.009999999999998,
6A,2024-09-30 00:08:15+00:00,14.2,
6A,2024-09-30 00:09:00+00:00,13.08,
6A,2024-09-30 00:09:45+00:00,13.79,
6A,2024-09-30 00:10:30+00:00,13.09,
6A,2024-09-30 00:11:15+00:00,12.71,
6A,2024-09-30 00:12:00+00:00,12.64,
6A,2024-09-30 00:12:45+00:00,12.41,
6A,2024-09-30 00:13:30+00:00,13.26,
6A,2024-09-30 00:14:15+00:00,14.21,
6A,2024-09-30 00:15:00+00:00,14.07,
6A,2024-09-30 00:15:45+00:00,13.38,
6A,2024-09-30 00:16:30+00:00,12.85,
6A,2024-09-30 00:17:15+00:00,12.77,
6A,2024-09-30 00:18:00+00:00,12.84,
6A,2024-09-30 00:18:45+00:00,12.72,
6A,2024-09-30 00:19:30+00:00,13.12,
6A,2024-09-30 00:20:15+00:00,14.24,
6A,2024-09-30 00:21:00+00:00,14.23,
6A,2024-09-30 00:21:45+00:00,16.990000000000002,
6A,2024-09-30 00:22:30+00:00,17.08,
6A,2024-09-30 00:23:15+00:00,17.23,
6A,2024-09-30 00:24:00+00:00,17.77,
6A,2024-09-30 00:24:45+00:00,18.05,
6A,2024-09-30 00:25:31+00:00,16.7,
6A,2024-09-30 00:26:15+00:00,17.14,
6A,2024-09-30 00:27:00+00:00,18.62,
6A,2024-09-30 00:27:45+00:00,17.24,
6A,2024-09-30 00:28:30+00:00,16.93,
6A,2024-09-30 00:29:15+00:00,16.75,
6A,2024-09-30 00:30:00+00:00,16.95,
6A,2024-09-30 00:30:45+00:00,17.25,
6A,2024-09-30 00:31:30+00:00,16.810000000000002,
6A,2024-09-30 00:32:15+00:00,16.67,
6A,2024-09-30 00:33:00+00:00,16.48,
6A,2024-09-30 00:33:45+00:00,17.23,
6A,2024-09-30 00:34:30+00:00,16.84,
6A,2024-09-30 00:35:15+00:00,16.740000000000002,
6A,2024-09-30 00:36:00+00:00,13.089999999999998,
6A,2024-09-30 00:36:45+00:00,13.58,
6A,2024-09-30 00:37:30+00:00,13.510000000000002,
6A,2024-09-30 00:38:15+00:00,13.13,
6A,2024-09-30 00:39:00+00:00,13.97,
6A,2024-09-30 00:39:45+00:00,13.19,
6A,2024-09-30 00:40:30+00:00,13.12,
6A,2024-09-30 00:41:15+00:00,13.51,
6A,2024-09-30 00:42:00+00:00,14.64,
6A,2024-09-30 00:42:45+00:00,15.16,
6A,2024-09-30 00:43:30+00:00,13.079999999999998,
6A,2024-09-30 00:44:15+00:00,13.58,
6A,2024-09-30 00:45:00+00:00,13.79,
6A,2024-09-30 00:45:45+00:00,13.5,
6A,2024-09-30 00:46:30+00:00,13.45,
6A,2024-09-30 00:47:15+00:00,13.35,
6A,2024-09-30 00:48:00+00:00,13.73,
6A,2024-09-30 00:48:45+00:00,13.7,
6A,2024-09-30 00:49:30+00:00,13.23,
6A,2024-09-30 00:50:15+00:00,13.12,
6A,2024-09-30 00:51:00+00:00,13.69,
6A,2024-09-30 00:51:45+00:00,14.19,
6A,2024-09-30 00:52:30+00:00,14.739999999999998,
6A,2024-09-30 00:53:15+00:00,14.73,
6A,2024-09-30 00:54:00+00:00,14.82,
6A,2024-09-30 00:54:45+00:00,17.08,
6A,2024-09-30 00:55:30+00:00,17.14,
6A,2024-09-30 00:56:15+00:00,17.0,
6A,2024-09-30 00:57:00+00:00,16.340000000000003,
6A,2024-09-30 00:57:45+00:00,16.740000000000002,
6A,2024-09-30 00:58:30+00:00,16.69,
6A,2024-09-30 00:59:15+00:00,17.12,
6A,2024-09-30 01:00:00+00:00,16.71,
6A,2024-09-30 01:00:45+00:00,16.68,
6A,2024-09-30 01:01:30+00:00,17.1,
6A,2024-09-30 01:02:15+00:00,16.509999999999998,
6A,2024-09-30 01:03:00+00:00,16.13,
6A,2024-09-30 01:03:45+00:00,15.85,
6A,2024-09-30 01:04:30+00:00,15.95,
6A,2024-09-30 01:05:15+00:00,15.869999999999996,
6A,2024-09-30 01:06:00+00:00,17.07,
6A,2024-09-30 01:06:45+00:00,16.53,
6A,2024-09-30 01:07:30+00:00,15.66,
6A,2024-09-30 01:08:15+00:00,15.61,
6A,2024-09-30 01:09:00+00:00,12.47,
6A,2024-09-30 01:09:45+00:00,13.15,
6A,2024-09-30 01:10:30+00:00,13.32,
6A,2024-09-30 01:11:15+00:00,12.98,
6A,2024-09-30 01:12:00+00:00,12.25,
6A,2024-09-30 01:12:45+00:00,12.7,
6A,2024-09-30 01:13:30+00:00,12.29,
6A,2024-09-30 01:14:15+00:00,12.13,
