series,timestamp,value,label
6A,2024-06-03 00:00:00+00:00,16.48,
6A,2024-06-03 00:00:15+00:00,16.37,
6A,2024-06-03 00:00:30+00:00,16.42,
6A,2024-06-03 00:00:45+00:00,16.810000000000002,
6A,2024-06-03 00:01:00+00:00,16.5,
6A,2024-06-03 00:01:15+00:00,16.509999999999998,
6A,2024-06-03 00:01:30+00:00,17.22,
6A,2024-06-03 00:01:45+00:00,16.830000000000002,
6A,2024-06-03 00:02:00+00:00,16.73,
6A,2024-06-03 00:02:15+00:00,17.96,
6A,2024-06-03 00:02:30+00:00,18.1,
6A,2024-06-03 00:02:45+00:00,18.020000000000003,
6A,2024-06-03 00:03:00+00:00,18.16,
6A,2024-06-03 00:03:15+00:00,17.48,
6A,2024-06-03 00:03:30+00:00,16.86,
6A,2024-06-03 00:03:45+00:00,16.83,
6A,2024-06-03 00:04:00+00:00,16.75,
6A,2024-06-03 00:04:15+00:00,16.75,
6A,2024-06-03 00:04:30+00:00,16.73,
6A,2024-06-03 00:04:45+00:00,17.55,
6A,2024-06-03 00:05:00+00:00,16.84,
6A,2024-06-03 00:05:15+00:00,16.73,
6A,2024-06-03 00:05:30+00:00,16.64,
6A,2024-06-03 00:05:45+00:00,16.62,
6A,2024-06-03 00:06:00+00:00,17.17,
6A,2024-06-03 00:06:15+00:00,17.67,
6A,2024-06-03 00:06:30+00:00,17.82,
6A,2024-06-03 00:06:45+00:00,17.71,
6A,2024-06-03 00:07:00+00:00,17.71,
6A,2024-06-03 00:07:15+00:00,17.43,
6A,2024-06-03 00:07:30+00:00,16.990000000000002,
6A,2024-06-03 00:07:45+00:00,17.01,
6A,2024-06-03 00:08:00+00:00,17.04,
6A,2024-06-03 00:08:15+00:00,17.16,
6A,2024-06-03 00:08:30+00:00,17.189999999999998,
6A,2024-06-03 00:08:45+00:00,17.78,
6A,2024-06-03 00:09:00+00:00,17.53,
6A,2024-06-03 00:09:15+00:00,17.43,
6A,2024-06-03 00:09:30+00:00,14.12,
6A,2024-06-03 00:09:45+00:00,13.9,
6A,2024-06-03 00:10:00+00:00,13.97,
6A,2024-06-03 00:10:15+00:00,13.88,
6A,2024-06-03 00:10:30+00:00,13.73,
6A,2024-06-03 00:10:45+00:00,13.78,
6A,2024-06-03 00:11:00+00:00,13.3,
6A,2024-06-03 00:11:15+00:00,13.260000000000002,
6A,2024-06-03 00:11:30+00:00,13.18,
6A,2024-06-03 00:11:45+00:00,13.12,
6A,2024-06-03 00:12:00+00:00,13.15,
6A,2024-06-03 00:12:15+00:00,13.37,
6A,2024-06-03 00:12:30+00:00,12.63,
6A,2024-06-03 00:12:45+00:00,13.29,
6A,2024-06-03 00:13:00+00:00,12.66,
6A,2024-06-03 00:13:15+00:00,12.689999999999998,
6A,2024-06-03 00:13:30+00:00,12.71,
6A,2024-06-03 00:13:45+00:00,12.55,
6A,2024-06-03 00:14:00+00:00,12.68,
6A,2024-06-03 00:14:15+00:00,12.84,
6A,2024-06-03 00:14:30+00:00,12.77,
6A,2024-06-03 00:14:45+00:00,12.740000000000002,
6A,2024-06-03 00:15:00+00:00,13.53,
6A,2024-06-03 00:15:15+00:00,13.72,
6A,2024-06-03 00:15:30+00:00,13.75,
6A,2024-06-03 00:15:45+00:00,13.77,
6A,2024-06-03 00:16:00+00:00,13.810000000000002,
6A,2024-06-03 00:16:15+00:00,13.3,
6A,2024-06-03 00:16:30+00:00,13.47,
6A,2024-06-03 00:16:45+00:00,15.099999999999998,
6A,2024-06-03 00:17:00+00:00,13.009999999999998,
6A,2024-06-03 00:17:15+00:00,13.03,
6A,2024-06-03 00:17:30+00:00,13.19,
6A,2024-06-03 00:17:45+00:00,13.4,
6A,2024-06-03 00:18:00+00:00,14.849999999999998,
6A,2024-06-03 00:18:15+00:00,13.69,
6A,2024-06-03 00:18:30+00:00,13.72,
6A,2024-06-03 00:18:45+00:00,13.15,
