series,timestamp,value,label
6A,2024-11-01 00:00:00+00:00,16.04,
6A,2024-11-01 00:00:15+00:00,16.060000000000002,
6A,2024-11-01 00:00:30+00:00,16.1,
6A,2024-11-01 00:00:45+00:00,15.98,
6A,2024-11-01 00:01:00+00:00,15.95,
6A,2024-11-01 00:01:15+00:00,15.94,
6A,2024-11-01 00:01:30+00:00,15.919999999999998,
6A,2024-11-01 00:01:45+00:00,15.89,
6A,2024-11-01 00:02:00+00:00,15.73,
6A,2024-11-01 00:02:15+00:00,15.75,
6A,2024-11-01 00:02:30+00:00,15.78,
6A,2024-11-01 00:02:45+00:00,15.82,
6A,2024-11-01 00:03:00+00:00,15.95,
6A,2024-11-01 00:03:15+00:00,15.97,
6A,2024-11-01 00:03:30+00:00,16.37,
6A,2024-11-01 00:03:45+00:00,16.41,
6A,2024-11-01 00:04:00+00:00,16.23,
6A,2024-11-01 00:04:15+00:00,16.18,
6A,2024-11-01 00:04:30+00:00,16.36,
6A,2024-11-01 00:04:45+00:00,16.41,
6A,2024-11-01 00:05:00+00:00,16.69,
6A,2024-11-01 00:05:15+00:00,16.7,
6A,2024-11-01 00:05:30+00:00,16.63,
6A,2024-11-01 00:05:45+00:00,16.64,
6A,2024-11-01 00:06:00+00:00,15.98,
6A,2024-11-01 00:06:15+00:00,15.96,
6A,2024-11-01 00:06:30+00:00,16.02,
6A,2024-11-01 00:06:45+00:00,12.31,
6A,2024-11-01 00:07:00+00:00,12.46,
6A,2024-11-01 00:07:15+00:00,12.89,
6A,2024-11-01 00:07:30+00:00,12.79,
6A,2024-11-01 00:07:45+00:00,12.84,
6A,2024-11-01 00:08:00+00:00,12.77,
6A,2024-11-01 00:08:15+00:00,12.39,
6A,2024-11-01 00:08:30+00:00,12.28,
6A,2024-11-01 00:08:45+00:00,12.27,
6A,2024-11-01 00:09:00+00:00,12.29,
6A,2024-11-01 00:09:15+00:00,12.32,
6A,2024-11-01 00:09:30+00:00,12.12,
6A,2024-11-01 00:09:45+00:00,12.19,
6A,2024-11-01 00:10:00+00:00,12.82,
6A,2024-11-01 00:10:15+00:00,12.68,
6A,2024-11-01 00:10:30+00:00,12.65,
6A,2024-11-01 00:10:45+00:00,12.62,
6A,2024-11-01 00:11:00+00:00,12.55,
6A,2024-11-01 00:11:15+00:00,13.28,
6A,2024-11-01 00:11:30+00:00,12.670000000000002,
6A,2024-11-01 00:11:45+00:00,12.489999999999998,
6A,2024-11-01 00:12:00+00:00,12.46,
6A,2024-11-01 00:12:15+00:00,12.44,
6A,2024-11-01 00:12:30+00:00,12.45,
6A,2024-11-01 00:12:45+00:00,12.420000000000002,
6A,2024-11-01 00:13:00+00:00,12.42,
6A,2024-11-01 00:13:15+00:00,12.47,
6A,2024-11-01 00:13:30+00:00,12.45,
6A,2024-11-01 00:13:45+00:00,12.46,
6A,2024-11-01 00:14:00+00:00,12.55,
6A,2024-11-01 00:14:15+00:00,12.560000000000002,
6A,2024-11-01 00:14:30+00:00,12.51,
6A,2024-11-01 00:14:45+00:00,13.03,
6A,2024-11-01 00:15:00+00:00,13.81,
6A,2024-11-01 00:15:15+00:00,14.510000000000002,
6A,2024-11-01 00:15:30+00:00,14.13,
6A,2024-11-01 00:15:45+00:00,14.260000000000002,
6A,2024-11-01 00:16:00+00:00,13.54,
6A,2024-11-01 00:16:15+00:00,13.32,
6A,2024-11-01 00:16:30+00:00,13.32,
6A,2024-11-01 00:16:45+00:00,13.33,
6A,2024-11-01 00:17:00+00:00,12.24,
6A,2024-11-01 00:17:15+00:00,12.16,
6A,2024-11-01 00:17:30+00:00,12.12,
6A,2024-11-01 00:17:45+00:00,12.05,
6A,2024-11-01 00:18:00+00:00,12.0,
6A,2024-11-01 00:18:15+00:00,11.99,
