series,timestamp,value,label
2A,2025-02-03 00:00:00+00:00,12.71,
2A,2025-02-03 00:00:15+00:00,12.55,
2A,2025-02-03 00:00:30+00:00,9.71,
2A,2025-02-03 00:00:45+00:00,9.73,
2A,2025-02-03 00:01:00+00:00,10.8,
2A,2025-02-03 00:01:15+00:00,9.77,
2A,2025-02-03 00:01:30+00:00,9.96,
2A,2025-02-03 00:01:45+00:00,10.03,
2A,2025-02-03 00:02:00+00:00,10.06,
2A,2025-02-03 00:02:15+00:00,9.99,
2A,2025-02-03 00:02:30+00:00,10.04,
2A,2025-02-03 00:02:45+00:00,10.64,
2A,2025-02-03 00:03:00+00:00,10.15,
2A,2025-02-03 00:03:15+00:00,10.04,
2A,2025-02-03 00:03:30+00:00,10.02,
2A,2025-02-03 00:03:45+00:00,10.03,
2A,2025-02-03 00:04:00+00:00,10.07,
2A,2025-02-03 00:04:15+00:00,10.01,
2A,2025-02-03 00:04:30+00:00,9.99,
2A,2025-02-03 00:04:45+00:00,13.41,
2A,2025-02-03 00:05:00+00:00,13.09,
2A,2025-02-03 00:05:15+00:00,13.93,
2A,2025-02-03 00:05:30+00:00,13.77,
2A,2025-02-03 00:05:45+00:00,13.97,
2A,2025-02-03 00:06:00+00:00,13.759999999999998,
2A,2025-02-03 00:06:15+00:00,13.88,
2A,2025-02-03 00:06:30+00:00,13.5,
2A,2025-02-03 00:06:45+00:00,15.57,
2A,2025-02-03 00:07:00+00:00,15.43,
2A,2025-02-03 00:07:15+00:00,14.829999999999998,
2A,2025-02-03 00:07:30+00:00,14.93,
2A,2025-02-03 00:07:45+00:00,14.84,
2A,2025-02-03 00:08:00+00:00,14.900000000000002,
2A,2025-02-03 00:08:15+00:00,14.5,
2A,2025-02-03 00:08:30+00:00,13.840000000000002,
2A,2025-02-03 00:08:45+00:00,13.81,
2A,2025-02-03 00:09:00+00:00,13.88,
2A,2025-02-03 00:09:15+00:00,13.8,
2A,2025-02-03 00:09:30+00:00,13.82,
2A,2025-02-03 00:09:45+00:00,13.86,
