series,timestamp,value,label
11A,2024-08-21T00:00:00Z,14.93,
11A,2024-08-21T00:00:15Z,14.89,
11A,2024-08-21T00:00:30Z,14.78,
11A,2024-08-21T00:00:45Z,14.88,
11A,2024-08-21T00:01:00Z,15.07,
11A,2024-08-21T00:01:15Z,13.89,
11A,2024-08-21T00:01:30Z,13.920000000000002,
11A,2024-08-21T00:01:45Z,13.89,
11A,2024-08-21T00:02:00Z,13.88,
11A,2024-08-21T00:02:15Z,13.830000000000002,
11A,2024-08-21T00:02:30Z,13.91,
11A,2024-08-21T00:02:45Z,13.920000000000002,
11A,2024-08-21T00:03:00Z,13.85,
11A,2024-08-21T00:03:15Z,13.79,
11A,2024-08-21T00:03:30Z,13.9,
11A,2024-08-21T00:03:45Z,13.89,
11A,2024-08-21T00:04:00Z,13.8,
11A,2024-08-21T00:04:15Z,14.659999999999998,
11A,2024-08-21T00:04:30Z,14.919999999999998,
11A,2024-08-21T00:04:45Z,14.849999999999998,
11A,2024-08-21T00:05:00Z,14.919999999999998,
11A,2024-08-21T00:05:15Z,14.96,
11A,2024-08-21T00:05:30Z,14.97,
11A,2024-08-21T00:05:45Z,15.29,
11A,2024-08-21T00:06:00Z,15.1,
11A,2024-08-21T00:06:15Z,15.55,
11A,2024-08-21T00:06:30Z,15.450000000000005,
11A,2024-08-21T00:06:45Z,15.43,
11A,2024-08-21T00:07:00Z,15.9,
11A,2024-08-21T00:07:15Z,15.96,
11A,2024-08-21T00:07:30Z,18.67,
11A,2024-08-21T00:07:45Z,18.85,
11A,2024-08-21T00:08:00Z,18.44,
11A,2024-08-21T00:08:15Z,18.71,
11A,2024-08-21T00:08:30Z,18.44,
11A,2024-08-21T00:08:45Z,17.189999999999998,
11A,2024-08-21T00:09:00Z,17.1,
11A,2024-08-21T00:09:15Z,17.08,
11A,2024-08-21T00:09:30Z,17.6,
11A,2024-08-21T00:09:45Z,17.47,
11A,2024-08-21T00:10:00Z,17.5,
11A,2024-08-21T00:10:15Z,17.49,
11A,2024-08-21T00:10:30Z,17.37,
11A,2024-08-21T00:10:45Z,17.53,
11A,2024-08-21T00:11:00Z,17.41,
11A,2024-08-21T00:11:15Z,17.38,
11A,2024-08-21T00:11:30Z,17.490000000000002,
11A,2024-08-21T00:11:45Z,18.34,
11A,2024-08-21T00:12:00Z,18.5,
11A,2024-08-21T00:12:15Z,18.53,
11A,2024-08-21T00:12:30Z,18.57,
11A,2024-08-21T00:12:45Z,15.51,
11A,2024-08-21T00:13:00Z,15.41,
11A,2024-08-21T00:13:15Z,15.489999999999998,
11A,2024-08-21T00:13:30Z,15.4,
11A,2024-08-21T00:13:45Z,15.45,
11A,2024-08-21T00:14:00Z,15.489999999999998,
11A,2024-08-21T00:14:15Z,15.54,
11A,2024-08-21T00:14:30Z,15.4,
11A,2024-08-21T00:14:45Z,15.5,
11A,2024-08-21T00:15:00Z,15.43,
11A,2024-08-21T00:15:15Z,15.68,
11A,2024-08-21T00:15:30Z,15.72,
11A,2024-08-21T00:15:45Z,15.63,
11A,2024-08-21T00:16:00Z,14.38,
11A,2024-08-21T00:16:15Z,14.45,
11A,2024-08-21T00:16:30Z,14.38,
11A,2024-08-21T00:16:45Z,14.400000000000002,
11A,2024-08-21T00:17:00Z,14.43,
11A,2024-08-21T00:17:15Z,14.41,
11A,2024-08-21T00:17:30Z,14.46,
11A,2024-08-21T00:17:45Z,14.41,
11A,2024-08-21T00:18:00Z,14.98,
11A,2024-08-21T00:18:15Z,14.94,
11A,2024-08-21T00:18:30Z,14.87,
11A,2024-08-21T00:18:45Z,14.96,
11A,2024-08-21T00:19:00Z,15.78,
11A,2024-08-21T00:19:15Z,16.02,
11A,2024-08-21T00:19:30Z,16.03,
11A,2024-08-21T00:19:45Z,16.11,
11A,2024-08-21T00:20:00Z,16.11,
11A,2024-08-21T00:20:15Z,16.13,
11A,2024-08-21T00:20:30Z,16.07,
11A,2024-08-21T00:20:45Z,16.080000000000002,
11A,2024-08-21T00:21:00Z,16.02,
11A,2024-08-21T00:21:15Z,16.02,
11A,2024-08-21T00:21:30Z,16.96,
11A,2024-08-21T00:21:45Z,16.91,
11A,2024-08-21T00:22:00Z,16.9,
11A,2024-08-21T00:22:15Z,16.4,
11A,2024-08-21T00:22:30Z,16.65,
