series,timestamp,value,label
11A,2024-12-11T00:00:00Z,12.21,
11A,2024-12-11T00:00:15Z,12.21,
11A,2024-12-11T00:00:30Z,12.22,
11A,2024-12-11T00:00:45Z,12.240000000000002,
11A,2024-12-11T00:01:00Z,12.260000000000002,
11A,2024-12-11T00:01:15Z,12.23,
11A,2024-12-11T00:01:30Z,12.23,
11A,2024-12-11T00:01:45Z,12.23,
11A,2024-12-11T00:02:00Z,12.24,
11A,2024-12-11T00:02:15Z,12.35,
11A,2024-12-11T00:02:30Z,12.330000000000002,
11A,2024-12-11T00:02:45Z,12.26,
11A,2024-12-11T00:03:00Z,12.24,
11A,2024-12-11T00:03:15Z,12.29,
11A,2024-12-11T00:03:30Z,12.32,
11A,2024-12-11T00:03:45Z,12.39,
11A,2024-12-11T00:04:00Z,12.3,
11A,2024-12-11T00:04:15Z,12.25,
11A,2024-12-11T00:04:30Z,12.29,
11A,2024-12-11T00:04:45Z,12.15,
11A,2024-12-11T00:05:00Z,12.15,
11A,2024-12-11T00:05:15Z,12.14,
11A,2024-12-11T00:05:30Z,12.18,
11A,2024-12-11T00:05:45Z,15.49,
11A,2024-12-11T00:06:00Z,15.35,
11A,2024-12-11T00:06:15Z,15.21,
11A,2024-12-11T00:06:30Z,15.04,
11A,2024-12-11T00:06:45Z,15.19,
11A,2024-12-11T00:07:00Z,15.18,
11A,2024-12-11T00:07:15Z,15.16,
11A,2024-12-11T00:07:30Z,15.16,
11A,2024-12-11T00:07:45Z,15.15,
11A,2024-12-11T00:08:00Z,15.19,
11A,2024-12-11T00:08:15Z,15.11,
11A,2024-12-11T00:08:30Z,15.07,
11A,2024-12-11T00:08:45Z,15.13,
11A,2024-12-11T00:09:00Z,15.12,
11A,2024-12-11T00:09:15Z,15.080000000000002,
11A,2024-12-11T00:09:30Z,15.13,
11A,2024-12-11T00:09:45Z,15.07,
11A,2024-12-11T00:10:00Z,15.11,
11A,2024-12-11T00:10:15Z,15.06,
11A,2024-12-11T00:10:30Z,15.15,
11A,2024-12-11T00:10:45Z,15.22,
11A,2024-12-11T00:11:00Z,15.21,
11A,2024-12-11T00:11:15Z,15.16,
11A,2024-12-11T00:11:30Z,15.11,
11A,2024-12-11T00:11:45Z,12.02,
11A,2024-12-11T00:12:00Z,12.09,
11A,2024-12-11T00:12:15Z,12.11,
11A,2024-12-11T00:12:30Z,12.080000000000002,
11A,2024-12-11T00:12:45Z,12.07,
11A,2024-12-11T00:13:00Z,12.05,
11A,2024-12-11T00:13:15Z,12.05,
11A,2024-12-11T00:13:30Z,12.05,
11A,2024-12-11T00:13:45Z,11.97,
11A,2024-12-11T00:14:00Z,12.1,
11A,2024-12-11T00:14:15Z,12.1,
11A,2024-12-11T00:14:30Z,12.14,
11A,2024-12-11T00:14:45Z,12.15,
11A,2024-12-11T00:15:00Z,12.12,
11A,2024-12-11T00:15:15Z,12.07,
11A,2024-12-11T00:15:30Z,12.09,
11A,2024-12-11T00:15:45Z,12.09,
11A,2024-12-11T00:16:00Z,12.11,
11A,2024-12-11T00:16:15Z,12.43,
11A,2024-12-11T00:16:30Z,12.36,
11A,2024-12-11T00:16:45Z,12.26,
11A,2024-12-11T00:17:00Z,12.18,
11A,2024-12-11T00:17:15Z,12.18,
11A,2024-12-11T00:17:30Z,12.19,
11A,2024-12-11T00:17:45Z,12.19,
11A,2024-12-11T00:18:00Z,12.16,
11A,2024-12-11T00:18:15Z,12.16,
11A,2024-12-11T00:18:30Z,12.19,
11A,2024-12-11T00:18:45Z,12.169999999999998,
11A,2024-12-11T00:19:00Z,12.15,
11A,2024-12-11T00:19:15Z,12.09,
11A,2024-12-11T00:19:30Z,12.05,
11A,2024-12-11T00:19:45Z,15.2,
11A,2024-12-11T00:20:00Z,15.37,
11A,2024-12-11T00:20:15Z,15.68,
11A,2024-12-11T00:20:30Z,15.510000000000002,
11A,2024-12-11T00:20:45Z,15.61,
11A,2024-12-11T00:21:00Z,15.659999999999998,
11A,2024-12-11T00:21:15Z,15.7,
11A,2024-12-11T00:21:30Z,15.75,
11A,2024-12-11T00:21:45Z,15.71,
11A,2024-12-11T00:22:00Z,15.68,
11A,2024-12-11T00:22:15Z,15.71,
11A,2024-12-11T00:22:30Z,15.71,
11A,2024-12-11T00:22:45Z,15.739999999999998,
11A,2024-12-11T00:23:00Z,15.72,
