series,timestamp,value,label
11A,2024-03-21T00:00:00Z,22.55,
11A,2024-03-21T00:00:15Z,22.49,
11A,2024-03-21T00:00:30Z,22.22,
11A,2024-03-21T00:00:45Z,22.57,
11A,2024-03-21T00:01:00Z,22.41,
11A,2024-03-21T00:01:15Z,22.340000000000003,
11A,2024-03-21T00:01:30Z,22.270000000000003,
11A,2024-03-21T00:01:45Z,22.25,
11A,2024-03-21T00:02:00Z,21.98,
11A,2024-03-21T00:02:15Z,21.93,
11A,2024-03-21T00:02:30Z,22.17,
11A,2024-03-21T00:02:45Z,21.99,
11A,2024-03-21T00:03:00Z,21.96,
11A,2024-03-21T00:03:15Z,22.05,
11A,2024-03-21T00:03:30Z,22.02,
11A,2024-03-21T00:03:45Z,21.99,
11A,2024-03-21T00:04:00Z,21.92,
11A,2024-03-21T00:04:15Z,21.96,
11A,2024-03-21T00:04:30Z,21.96,
11A,2024-03-21T00:04:45Z,21.92,
11A,2024-03-21T00:05:00Z,21.99,
11A,2024-03-21T00:05:15Z,21.97,
11A,2024-03-21T00:05:30Z,21.92,
11A,2024-03-21T00:05:45Z,22.0,
11A,2024-03-21T00:06:00Z,21.98,
11A,2024-03-21T00:06:15Z,22.07,
11A,2024-03-21T00:06:30Z,22.07,
11A,2024-03-21T00:06:45Z,22.05,
11A,2024-03-21T00:07:00Z,22.04,
11A,2024-03-21T00:07:15Z,22.0,
11A,2024-03-21T00:07:30Z,21.96,
11A,2024-03-21T00:07:45Z,21.97,
11A,2024-03-21T00:08:00Z,22.01,
11A,2024-03-21T00:08:15Z,22.25,
11A,2024-03-21T00:08:30Z,22.06,
11A,2024-03-21T00:08:45Z,22.0,
11A,2024-03-21T00:09:00Z,22.07,
11A,2024-03-21T00:09:15Z,22.04,
11A,2024-03-21T00:09:30Z,22.14,
11A,2024-03-21T00:09:45Z,22.04,
11A,2024-03-21T00:10:00Z,22.16,
11A,2024-03-21T00:10:15Z,18.82,
11A,2024-03-21T00:10:30Z,18.85,
11A,2024-03-21T00:10:45Z,18.87,
11A,2024-03-21T00:11:00Z,18.94,
11A,2024-03-21T00:11:15Z,19.06,
11A,2024-03-21T00:11:30Z,19.45,
11A,2024-03-21T00:11:45Z,19.35,
11A,2024-03-21T00:12:00Z,19.32,
11A,2024-03-21T00:12:15Z,19.44,
11A,2024-03-21T00:12:30Z,20.05,
11A,2024-03-21T00:12:45Z,19.97,
11A,2024-03-21T00:13:00Z,19.95,
11A,2024-03-21T00:13:15Z,20.24,
11A,2024-03-21T00:13:30Z,19.53,
11A,2024-03-21T00:13:45Z,19.49,
11A,2024-03-21T00:14:00Z,19.01,
11A,2024-03-21T00:14:15Z,18.55,
11A,2024-03-21T00:14:30Z,18.52,
11A,2024-03-21T00:14:45Z,19.01,
11A,2024-03-21T00:15:00Z,19.0,
11A,2024-03-21T00:15:15Z,19.01,
11A,2024-03-21T00:15:30Z,19.1,
11A,2024-03-21T00:15:45Z,18.99,
11A,2024-03-21T00:16:00Z,19.14,
11A,2024-03-21T00:16:15Z,19.16,
11A,2024-03-21T00:16:30Z,19.14,
11A,2024-03-21T00:16:45Z,19.130000000000003,
11A,2024-03-21T00:17:00Z,19.14,
11A,2024-03-21T00:17:15Z,19.52,
11A,2024-03-21T00:17:30Z,19.51,
11A,2024-03-21T00:17:45Z,19.83,
11A,2024-03-21T00:18:00Z,19.73,
11A,2024-03-21T00:18:15Z,19.68,
