series,timestamp,value,label
11A,2024-09-16T00:00:00Z,15.35,
11A,2024-09-16T00:00:15Z,15.41,
11A,2024-09-16T00:00:30Z,15.47,
11A,2024-09-16T00:00:45Z,15.38,
11A,2024-09-16T00:01:00Z,15.41,
11A,2024-09-16T00:01:15Z,15.36,
11A,2024-09-16T00:01:30Z,15.35,
11A,2024-09-16T00:01:45Z,15.25,
11A,2024-09-16T00:02:00Z,15.34,
11A,2024-09-16T00:02:15Z,15.47,
11A,2024-09-16T00:02:30Z,15.69,
11A,2024-09-16T00:02:45Z,15.49,
11A,2024-09-16T00:03:00Z,15.3,
11A,2024-09-16T00:03:15Z,15.27,
11A,2024-09-16T00:03:30Z,14.29,
11A,2024-09-16T00:03:45Z,14.31,
11A,2024-09-16T00:04:00Z,14.29,
11A,2024-09-16T00:04:15Z,14.21,
11A,2024-09-16T00:04:30Z,14.19,
11A,2024-09-16T00:04:45Z,14.11,
11A,2024-09-16T00:05:00Z,14.16,
11A,2024-09-16T00:05:15Z,14.1,
11A,2024-09-16T00:05:30Z,14.15,
11A,2024-09-16T00:05:45Z,14.13,
11A,2024-09-16T00:06:00Z,14.16,
11A,2024-09-16T00:06:15Z,14.080000000000002,
11A,2024-09-16T00:06:30Z,15.77,
11A,2024-09-16T00:06:45Z,15.83,
11A,2024-09-16T00:07:00Z,15.86,
11A,2024-09-16T00:07:15Z,15.83,
11A,2024-09-16T00:07:30Z,15.79,
11A,2024-09-16T00:07:45Z,16.23,
11A,2024-09-16T00:08:00Z,16.11,
11A,2024-09-16T00:08:15Z,16.14,
11A,2024-09-16T00:08:30Z,16.4,
11A,2024-09-16T00:08:45Z,16.33,
11A,2024-09-16T00:09:00Z,19.12,
11A,2024-09-16T00:09:15Z,18.83,
11A,2024-09-16T00:09:30Z,18.75,
11A,2024-09-16T00:09:45Z,18.61,
11A,2024-09-16T00:10:00Z,18.69,
11A,2024-09-16T00:10:15Z,18.79,
11A,2024-09-16T00:10:30Z,18.75,
11A,2024-09-16T00:10:45Z,18.35,
11A,2024-09-16T00:11:00Z,18.3,
11A,2024-09-16T00:11:15Z,18.22,
11A,2024-09-16T00:11:30Z,17.81,
11A,2024-09-16T00:11:45Z,17.810000000000002,
11A,2024-09-16T00:12:00Z,17.86,
11A,2024-09-16T00:12:15Z,17.92,
11A,2024-09-16T00:12:30Z,17.94,
11A,2024-09-16T00:12:45Z,18.44,
11A,2024-09-16T00:13:00Z,18.41,
11A,2024-09-16T00:13:15Z,18.41,
11A,2024-09-16T00:13:30Z,18.71,
11A,2024-09-16T00:13:45Z,18.53,
11A,2024-09-16T00:14:00Z,18.29,
11A,2024-09-16T00:14:15Z,18.27,
11A,2024-09-16T00:14:30Z,18.35,
11A,2024-09-16T00:14:45Z,17.880000000000003,
11A,2024-09-16T00:15:00Z,17.92,
11A,2024-09-16T00:15:15Z,17.759999999999998,
11A,2024-09-16T00:15:30Z,14.95,
11A,2024-09-16T00:15:45Z,14.98,
11A,2024-09-16T00:16:00Z,13.910000000000002,
11A,2024-09-16T00:16:15Z,13.849999999999998,
11A,2024-09-16T00:16:30Z,13.97,
11A,2024-09-16T00:16:45Z,13.88,
11A,2024-09-16T00:17:00Z,13.93,
11A,2024-09-16T00:17:15Z,13.92,
11A,2024-09-16T00:17:30Z,13.98,
11A,2024-09-16T00:17:45Z,13.989999999999998,
11A,2024-09-16T00:18:00Z,14.01,
11A,2024-09-16T00:18:15Z,13.94,
11A,2024-09-16T00:18:30Z,13.8,
11A,2024-09-16T00:18:45Z,13.759999999999998,
11A,2024-09-16T00:19:00Z,15.000000000000002,
11A,2024-09-16T00:19:15Z,14.98,
11A,2024-09-16T00:19:30Z,14.86,
11A,2024-09-16T00:19:45Z,14.85,
11A,2024-09-16T00:20:00Z,14.85,
11A,2024-09-16T00:20:15Z,14.81,
11A,2024-09-16T00:20:30Z,14.81,
11A,2024-09-16T00:20:45Z,14.760000000000002,
11A,2024-09-16T00:21:00Z,14.78,
11A,2024-09-16T00:21:15Z,14.8,
11A,2024-09-16T00:21:30Z,14.77,
11A,2024-09-16T00:21:45Z,14.75,
11A,2024-09-16T00:22:00Z,14.78,
11A,2024-09-16T00:22:15Z,14.75,
11A,2024-09-16T00:22:30Z,15.35,
11A,2024-09-16T00:22:45Z,15.33,
11A,2024-09-16T00:23:00Z,15.33,
11A,2024-09-16T00:23:15Z,15.36,
11A,2024-09-16T00:23:30Z,15.78,
11A,2024-09-16T00:23:45Z,15.78,
11A,2024-09-16T00:24:00Z,15.8,
11A,2024-09-16T00:24:15Z,15.28,
11A,2024-09-16T00:24:30Z,15.28,
11A,2024-09-16T00:24:45Z,18.1,
11A,2024-09-16T00:25:00Z,18.47,
11A,2024-09-16T00:25:15Z,17.89,
11A,2024-09-16T00:25:30Z,17.87,
11A,2024-09-16T00:25:45Z,17.78,
11A,2024-09-16T00:26:00Z,18.45,
11A,2024-09-16T00:26:15Z,18.4,
11A,2024-09-16T00:26:30Z,18.55,
11A,2024-09-16T00:26:45Z,18.53,
11A,2024-09-16T00:27:00Z,18.39,
11A,2024-09-16T00:27:15Z,18.39,
11A,2024-09-16T00:27:30Z,17.78,
11A,2024-09-16T00:27:45Z,17.8,
11A,2024-09-16T00:28:00Z,17.73,
11A,2024-09-16T00:28:15Z,17.67,
11A,2024-09-16T00:28:30Z,17.71,
11A,2024-09-16T00:28:45Z,17.67,
11A,2024-09-16T00:29:00Z,17.66,
11A,2024-09-16T00:29:15Z,17.67,
11A,2024-09-16T00:29:30Z,17.91,
11A,2024-09-16T00:29:45Z,18.02,
11A,2024-09-16T00:30:00Z,17.78,
11A,2024-09-16T00:30:15Z,17.79,
11A,2024-09-16T00:30:30Z,17.77,
11A,2024-09-16T00:30:45Z,17.71,
11A,2024-09-16T00:31:00Z,14.81,
11A,2024-09-16T00:31:15Z,14.79,
11A,2024-09-16T00:31:30Z,14.7,
11A,2024-09-16T00:31:45Z,14.67,
11A,2024-09-16T00:32:00Z,13.69,
11A,2024-09-16T00:32:15Z,13.59,
11A,2024-09-16T00:32:30Z,13.63,
11A,2024-09-16T00:32:45Z,14.160000000000002,
11A,2024-09-16T00:33:00Z,14.09,
11A,2024-09-16T00:33:15Z,14.14,
