series,timestamp,value,label
2A,2024-07-15T00:00:00Z,11.74,
2A,2024-07-15T00:00:15Z,11.740000000000002,
2A,2024-07-15T00:00:30Z,11.72,
2A,2024-07-15T00:00:45Z,10.169999999999998,
2A,2024-07-15T00:01:00Z,10.2,
2A,2024-07-15T00:01:15Z,10.17,
2A,2024-07-15T00:01:30Z,10.16,
2A,2024-07-15T00:01:45Z,10.17,
2A,2024-07-15T00:02:00Z,9.75,
2A,2024-07-15T00:02:15Z,10.54,
2A,2024-07-15T00:02:30Z,13.34,
2A,2024-07-15T00:02:45Z,9.93,
2A,2024-07-15T00:03:00Z,9.86,
2A,2024-07-15T00:03:15Z,9.85,
2A,2024-07-15T00:03:30Z,9.41,
2A,2024-07-15T00:03:45Z,9.44,
2A,2024-07-15T00:04:00Z,9.409999999999998,
2A,2024-07-15T00:04:15Z,9.45,
2A,2024-07-15T00:04:30Z,9.43,
2A,2024-07-15T00:04:45Z,9.41,
2A,2024-07-15T00:05:00Z,9.44,
2A,2024-07-15T00:05:15Z,9.42,
2A,2024-07-15T00:05:30Z,9.36,
2A,2024-07-15T00:05:45Z,9.32,
2A,2024-07-15T00:06:00Z,9.32,
2A,2024-07-15T00:06:15Z,9.18,
2A,2024-07-15T00:06:30Z,9.18,
2A,2024-07-15T00:06:45Z,9.19,
2A,2024-07-15T00:07:00Z,9.18,
2A,2024-07-15T00:07:15Z,9.17,
2A,2024-07-15T00:07:30Z,10.03,
2A,2024-07-15T00:07:45Z,10.03,
2A,2024-07-15T00:08:00Z,10.03,
2A,2024-07-15T00:08:15Z,10.04,
2A,2024-07-15T00:08:30Z,10.04,
2A,2024-07-15T00:08:45Z,10.07,
2A,2024-07-15T00:09:00Z,10.08,
2A,2024-07-15T00:09:15Z,10.11,
2A,2024-07-15T00:09:30Z,10.06,
2A,2024-07-15T00:09:45Z,10.11,
2A,2024-07-15T00:10:00Z,10.1,
2A,2024-07-15T00:10:15Z,10.15,
