series,timestamp,value,label
2A,2024-06-25T00:00:00Z,11.489999999999998,
2A,2024-06-25T00:00:15Z,11.57,
2A,2024-06-25T00:00:30Z,11.499999999999998,
2A,2024-06-25T00:00:45Z,11.489999999999998,
2A,2024-06-25T00:01:00Z,11.489999999999998,
2A,2024-06-25T00:01:15Z,11.48,
2A,2024-06-25T00:01:30Z,11.51,
2A,2024-06-25T00:01:45Z,11.53,
2A,2024-06-25T00:02:00Z,11.51,
2A,2024-06-25T00:02:15Z,14.78,
2A,2024-06-25T00:02:30Z,11.53,
2A,2024-06-25T00:02:45Z,11.5,
2A,2024-06-25T00:03:00Z,11.3,
2A,2024-06-25T00:03:15Z,11.31,
2A,2024-06-25T00:03:30Z,12.36,
2A,2024-06-25T00:03:45Z,11.29,
2A,2024-06-25T00:04:00Z,9.669999999999998,
2A,2024-06-25T00:04:15Z,9.61,
2A,2024-06-25T00:04:30Z,10.22,
2A,2024-06-25T00:04:45Z,10.31,
2A,2024-06-25T00:05:00Z,9.64,
2A,2024-06-25T00:05:15Z,9.63,
2A,2024-06-25T00:05:30Z,9.59,
2A,2024-06-25T00:05:45Z,9.61,
2A,2024-06-25T00:06:00Z,9.6,
2A,2024-06-25T00:06:15Z,9.61,
2A,2024-06-25T00:06:30Z,12.48,
2A,2024-06-25T00:06:45Z,12.21,
2A,2024-06-25T00:07:00Z,9.08,
2A,2024-06-25T00:07:15Z,9.04,
2A,2024-06-25T00:07:30Z,9.07,
2A,2024-06-25T00:07:45Z,8.7,
2A,2024-06-25T00:08:00Z,8.73,
2A,2024-06-25T00:08:15Z,8.69,
2A,2024-06-25T00:08:30Z,8.67,
2A,2024-06-25T00:08:45Z,9.79,
2A,2024-06-25T00:09:00Z,8.67,
2A,2024-06-25T00:09:15Z,8.68,
2A,2024-06-25T00:09:30Z,8.67,
2A,2024-06-25T00:09:45Z,8.66,
2A,2024-06-25T00:10:00Z,9.21,
2A,2024-06-25T00:10:15Z,9.1,
2A,2024-06-25T00:10:30Z,9.05,
2A,2024-06-25T00:10:45Z,9.07,
2A,2024-06-25T00:11:00Z,9.07,
2A,2024-06-25T00:11:15Z,9.11,
2A,2024-06-25T00:11:30Z,9.09,
2A,2024-06-25T00:11:45Z,9.63,
2A,2024-06-25T00:12:00Z,12.83,
2A,2024-06-25T00:12:15Z,9.78,
2A,2024-06-25T00:12:30Z,10.03,
2A,2024-06-25T00:12:45Z,10.01,
2A,2024-06-25T00:13:00Z,10.02,
2A,2024-06-25T00:13:15Z,10.0,
2A,2024-06-25T00:13:30Z,9.98,
2A,2024-06-25T00:13:45Z,10.02,
2A,2024-06-25T00:14:00Z,11.0,
2A,2024-06-25T00:14:15Z,10.08,
2A,2024-06-25T00:14:30Z,9.7,
2A,2024-06-25T00:14:45Z,9.57,
2A,2024-06-25T00:15:00Z,9.83,
2A,2024-06-25T00:15:15Z,9.82,
2A,2024-06-25T00:15:30Z,9.77,
2A,2024-06-25T00:15:45Z,9.76,
2A,2024-06-25T00:16:00Z,9.28,
2A,2024-06-25T00:16:15Z,9.23,
2A,2024-06-25T00:16:30Z,12.7,
2A,2024-06-25T00:16:45Z,12.87,
2A,2024-06-25T00:17:00Z,9.72,
2A,2024-06-25T00:17:15Z,9.76,
2A,2024-06-25T00:17:30Z,10.16,
2A,2024-06-25T00:17:45Z,9.68,
2A,2024-06-25T00:18:00Z,10.28,
2A,2024-06-25T00:18:15Z,10.22,
2A,2024-06-25T00:18:30Z,10.18,
2A,2024-06-25T00:18:45Z,10.17,
2A,2024-06-25T00:19:00Z,10.19,
2A,2024-06-25T00:19:15Z,10.489999999999998,
2A,2024-06-25T00:19:30Z,9.97,
2A,2024-06-25T00:19:45Z,10.63,
2A,2024-06-25T00:20:00Z,9.45,
2A,2024-06-25T00:20:15Z,9.49,
2A,2024-06-25T00:20:30Z,9.09,
2A,2024-06-25T00:20:45Z,12.36,
2A,2024-06-25T00:21:00Z,9.09,
2A,2024-06-25T00:21:15Z,9.11,
2A,2024-06-25T00:21:30Z,9.09,
2A,2024-06-25T00:21:45Z,9.08,
2A,2024-06-25T00:22:00Z,9.1,
2A,2024-06-25T00:22:15Z,9.15,
2A,2024-06-25T00:22:30Z,9.07,
2A,2024-06-25T00:22:45Z,9.04,
2A,2024-06-25T00:23:00Z,9.09,
2A,2024-06-25T00:23:15Z,9.11,
2A,2024-06-25T00:23:30Z,9.15,
2A,2024-06-25T00:23:45Z,9.07,
2A,2024-06-25T00:24:00Z,9.09,
2A,2024-06-25T00:24:15Z,10.4,
2A,2024-06-25T00:24:30Z,11.34,
2A,2024-06-25T00:24:45Z,10.55,
2A,2024-06-25T00:25:00Z,10.55,
2A,2024-06-25T00:25:15Z,10.55,
2A,2024-06-25T00:25:30Z,10.56,
2A,2024-06-25T00:25:45Z,13.85,
2A,2024-06-25T00:26:00Z,10.02,
2A,2024-06-25T00:26:15Z,9.63,
2A,2024-06-25T00:26:30Z,9.65,
2A,2024-06-25T00:26:45Z,9.72,
2A,2024-06-25T00:27:00Z,9.76,
2A,2024-06-25T00:27:15Z,9.73,
2A,2024-06-25T00:27:30Z,9.71,
2A,2024-06-25T00:27:45Z,9.71,
2A,2024-06-25T00:28:00Z,9.71,
2A,2024-06-25T00:28:15Z,9.72,
2A,2024-06-25T00:28:30Z,11.42,
2A,2024-06-25T00:28:45Z,11.27,
2A,2024-06-25T00:29:00Z,11.29,
2A,2024-06-25T00:29:15Z,12.39,
2A,2024-06-25T00:29:30Z,11.28,
2A,2024-06-25T00:29:45Z,11.26,
2A,2024-06-25T00:30:00Z,11.25,
2A,2024-06-25T00:30:15Z,14.23,
2A,2024-06-25T00:30:30Z,13.9,
2A,2024-06-25T00:30:45Z,10.73,
2A,2024-06-25T00:31:00Z,10.98,
2A,2024-06-25T00:31:15Z,11.55,
2A,2024-06-25T00:31:30Z,11.51,
2A,2024-06-25T00:31:45Z,11.4,
2A,2024-06-25T00:32:00Z,11.41,
2A,2024-06-25T00:32:15Z,11.42,
2A,2024-06-25T00:32:30Z,11.48,
2A,2024-06-25T00:32:45Z,11.489999999999998,
2A,2024-06-25T00:33:00Z,11.48,
2A,2024-06-25T00:33:15Z,10.58,
2A,2024-06-25T00:33:30Z,10.59,
2A,2024-06-25T00:33:45Z,10.59,
2A,2024-06-25T00:34:00Z,10.65,
