series,timestamp,value,label
2A,2024-10-28T00:00:00Z,10.75,
2A,2024-10-28T00:00:15Z,10.62,
2A,2024-10-28T00:00:30Z,10.510000000000002,
2A,2024-10-28T00:00:45Z,10.5,
2A,2024-10-28T00:01:00Z,10.5,
2A,2024-10-28T00:01:15Z,10.45,
2A,2024-10-28T00:01:30Z,10.45,
2A,2024-10-28T00:01:45Z,10.43,
2A,2024-10-28T00:02:00Z,10.7,
2A,2024-10-28T00:02:15Z,10.69,
2A,2024-10-28T00:02:30Z,13.95,
2A,2024-10-28T00:02:45Z,11.11,
2A,2024-10-28T00:03:00Z,11.13,
2A,2024-10-28T00:03:15Z,11.08,
2A,2024-10-28T00:03:30Z,11.09,
2A,2024-10-28T00:03:45Z,11.08,
2A,2024-10-28T00:04:00Z,11.65,
2A,2024-10-28T00:04:15Z,11.61,
2A,2024-10-28T00:04:30Z,11.6,
2A,2024-10-28T00:04:45Z,12.18,
2A,2024-10-28T00:05:00Z,12.24,
2A,2024-10-28T00:05:15Z,12.169999999999998,
2A,2024-10-28T00:05:30Z,12.27,
2A,2024-10-28T00:05:45Z,11.89,
2A,2024-10-28T00:06:00Z,11.95,
2A,2024-10-28T00:06:15Z,11.919999999999998,
2A,2024-10-28T00:06:30Z,12.45,
2A,2024-10-28T00:06:45Z,12.400000000000002,
2A,2024-10-28T00:07:00Z,16.36,
2A,2024-10-28T00:07:15Z,12.329999999999998,
2A,2024-10-28T00:07:30Z,12.41,
2A,2024-10-28T00:07:45Z,12.5,
2A,2024-10-28T00:08:00Z,12.54,
2A,2024-10-28T00:08:15Z,12.510000000000002,
2A,2024-10-28T00:08:30Z,12.5,
2A,2024-10-28T00:08:45Z,12.76,
2A,2024-10-28T00:09:00Z,12.16,
2A,2024-10-28T00:09:15Z,12.169999999999998,
2A,2024-10-28T00:09:30Z,12.11,
2A,2024-10-28T00:09:45Z,12.43,
2A,2024-10-28T00:10:00Z,12.36,
2A,2024-10-28T00:10:15Z,12.23,
2A,2024-10-28T00:10:30Z,11.78,
2A,2024-10-28T00:10:45Z,13.909999999999998,
2A,2024-10-28T00:11:00Z,10.94,
2A,2024-10-28T00:11:15Z,10.95,
2A,2024-10-28T00:11:30Z,10.920000000000002,
2A,2024-10-28T00:11:45Z,11.57,
2A,2024-10-28T00:12:00Z,11.44,
2A,2024-10-28T00:12:15Z,11.47,
2A,2024-10-28T00:12:30Z,11.2,
2A,2024-10-28T00:12:45Z,11.3,
2A,2024-10-28T00:13:00Z,9.51,
2A,2024-10-28T00:13:15Z,9.44,
2A,2024-10-28T00:13:30Z,9.47,
2A,2024-10-28T00:13:45Z,9.27,
2A,2024-10-28T00:14:00Z,9.4,
2A,2024-10-28T00:14:15Z,9.34,
2A,2024-10-28T00:14:30Z,9.36,
2A,2024-10-28T00:14:45Z,9.3,
2A,2024-10-28T00:15:00Z,9.3,
2A,2024-10-28T00:15:15Z,9.3,
2A,2024-10-28T00:15:30Z,9.3,
2A,2024-10-28T00:15:45Z,9.35,
2A,2024-10-28T00:16:00Z,9.93,
2A,2024-10-28T00:16:15Z,9.39,
2A,2024-10-28T00:16:30Z,9.41,
2A,2024-10-28T00:16:45Z,9.34,
2A,2024-10-28T00:17:00Z,8.969999999999999,
2A,2024-10-28T00:17:15Z,9.01,
2A,2024-10-28T00:17:30Z,9.2,
2A,2024-10-28T00:17:45Z,9.14,
2A,2024-10-28T00:18:00Z,9.079999999999998,
2A,2024-10-28T00:18:15Z,9.079999999999998,
2A,2024-10-28T00:18:30Z,9.15,
2A,2024-10-28T00:18:45Z,12.34,
