series,timestamp,value,label
6A,2024-04-05T00:00:00Z,27.880000000000003,
6A,2024-04-05T00:00:15Z,27.28,
6A,2024-04-05T00:00:30Z,27.37,
6A,2024-04-05T00:00:45Z,27.39,
6A,2024-04-05T00:01:00Z,26.9,
6A,2024-04-05T00:01:15Z,26.7,
6A,2024-04-05T00:01:30Z,26.8,
6A,2024-04-05T00:01:45Z,27.42,
6A,2024-04-05T00:02:00Z,27.13,
6A,2024-04-05T00:02:15Z,27.57,
6A,2024-04-05T00:02:30Z,27.26,
6A,2024-04-05T00:02:45Z,27.14,
6A,2024-04-05T00:03:00Z,27.23,
6A,2024-04-05T00:03:15Z,27.12,
6A,2024-04-05T00:03:30Z,27.46,
6A,2024-04-05T00:03:45Z,26.74,
6A,2024-04-05T00:04:00Z,27.15,
6A,2024-04-05T00:04:15Z,27.26,
6A,2024-04-05T00:04:30Z,27.69,
6A,2024-04-05T00:04:45Z,27.49,
6A,2024-04-05T00:05:00Z,27.450000000000003,
6A,2024-04-05T00:05:15Z,27.45,
6A,2024-04-05T00:05:30Z,27.55,
6A,2024-04-05T00:05:45Z,26.83,
6A,2024-04-05T00:06:00Z,26.49,
6A,2024-04-05T00:06:15Z,26.66,
6A,2024-04-05T00:06:30Z,26.67,
6A,2024-04-05T00:06:45Z,26.72,
6A,2024-04-05T00:07:00Z,26.73,
6A,2024-04-05T00:07:15Z,26.85,
6A,2024-04-05T00:07:30Z,26.77,
6A,2024-04-05T00:07:45Z,26.8,
6A,2024-04-05T00:08:00Z,26.85,
6A,2024-04-05T00:08:15Z,26.75,
6A,2024-04-05T00:08:30Z,27.24,
6A,2024-04-05T00:08:45Z,27.29,
6A,2024-04-05T00:09:00Z,27.3,
6A,2024-04-05T00:09:15Z,27.62,
6A,2024-04-05T00:09:30Z,27.51,
6A,2024-04-05T00:09:45Z,27.65,
6A,2024-04-05T00:10:00Z,27.29,
6A,2024-04-05T00:10:15Z,27.85,
6A,2024-04-05T00:10:30Z,26.68,
6A,2024-04-05T00:10:45Z,26.51,
6A,2024-04-05T00:11:00Z,26.57,
6A,2024-04-05T00:11:15Z,27.380000000000003,
6A,2024-04-05T00:11:30Z,27.27,
6A,2024-04-05T00:11:45Z,27.77,
6A,2024-04-05T00:12:00Z,27.83,
6A,2024-04-05T00:12:15Z,27.76,
6A,2024-04-05T00:12:30Z,27.99,
6A,2024-04-05T00:12:45Z,27.98,
6A,2024-04-05T00:13:00Z,31.66,
6A,2024-04-05T00:13:15Z,31.97,
6A,2024-04-05T00:13:30Z,31.430000000000003,
6A,2024-04-05T00:13:45Z,32.37,
6A,2024-04-05T00:14:00Z,31.17,
