series,timestamp,value,label
6A,2024-01-25T00:00:00Z,21.74,
6A,2024-01-25T00:00:15Z,21.68,
6A,2024-01-25T00:00:30Z,22.45,
6A,2024-01-25T00:00:45Z,21.700000000000003,
6A,2024-01-25T00:01:00Z,21.55,
6A,2024-01-25T00:01:15Z,21.65,
6A,2024-01-25T00:01:30Z,25.69,
6A,2024-01-25T00:01:45Z,25.59,
6A,2024-01-25T00:02:00Z,26.51,
6A,2024-01-25T00:02:15Z,26.11,
6A,2024-01-25T00:02:30Z,26.42,
6A,2024-01-25T00:02:45Z,26.44,
6A,2024-01-25T00:03:00Z,25.86,
6A,2024-01-25T00:03:15Z,25.82,
6A,2024-01-25T00:03:30Z,25.840000000000003,
6A,2024-01-25T00:03:45Z,25.43,
6A,2024-01-25T00:04:00Z,25.450000000000003,
6A,2024-01-25T00:04:15Z,26.44,
6A,2024-01-25T00:04:30Z,26.1,
6A,2024-01-25T00:04:45Z,26.23,
6A,2024-01-25T00:05:00Z,27.34,
6A,2024-01-25T00:05:15Z,26.23,
6A,2024-01-25T00:05:30Z,26.26,
6A,2024-01-25T00:05:45Z,27.0,
6A,2024-01-25T00:06:00Z,26.5,
6A,2024-01-25T00:06:15Z,25.84,
6A,2024-01-25T00:06:30Z,26.520000000000003,
6A,2024-01-25T00:06:45Z,26.11,
6A,2024-01-25T00:07:00Z,26.11,
6A,2024-01-25T00:07:15Z,26.13,
6A,2024-01-25T00:07:30Z,26.18,
6A,2024-01-25T00:07:45Z,26.99,
6A,2024-01-25T00:08:00Z,25.92,
6A,2024-01-25T00:08:15Z,26.520000000000003,
6A,2024-01-25T00:08:30Z,25.8,
6A,2024-01-25T00:08:45Z,25.18,
6A,2024-01-25T00:09:00Z,25.19,
6A,2024-01-25T00:09:15Z,25.1,
6A,2024-01-25T00:09:30Z,25.07,
6A,2024-01-25T00:09:45Z,25.07,
6A,2024-01-25T00:10:00Z,25.1,
6A,2024-01-25T00:10:15Z,24.99,
6A,2024-01-25T00:10:30Z,25.62,
6A,2024-01-25T00:10:45Z,25.41,
6A,2024-01-25T00:11:00Z,25.49,
6A,2024-01-25T00:11:15Z,26.67,
6A,2024-01-25T00:11:30Z,25.31,
6A,2024-01-25T00:11:45Z,25.450000000000003,
6A,2024-01-25T00:12:00Z,25.42,
6A,2024-01-25T00:12:15Z,25.51,
6A,2024-01-25T00:12:30Z,25.6,
6A,2024-01-25T00:12:45Z,25.63,
6A,2024-01-25T00:13:00Z,25.78,
6A,2024-01-25T00:13:15Z,25.79,
6A,2024-01-25T00:13:30Z,25.93,
6A,2024-01-25T00:13:45Z,25.85,
6A,2024-01-25T00:14:00Z,26.3,
6A,2024-01-25T00:14:15Z,26.67,
6A,2024-01-25T00:14:30Z,26.65,
6A,2024-01-25T00:14:45Z,26.62,
6A,2024-01-25T00:15:00Z,27.6,
6A,2024-01-25T00:15:15Z,25.52,
6A,2024-01-25T00:15:30Z,25.46,
6A,2024-01-25T00:15:45Z,25.5,
6A,2024-01-25T00:16:00Z,25.5,
6A,2024-01-25T00:16:15Z,25.41,
6A,2024-01-25T00:16:30Z,25.56,
6A,2024-01-25T00:16:45Z,25.64,
6A,2024-01-25T00:17:00Z,25.57,
6A,2024-01-25T00:17:15Z,25.54,
6A,2024-01-25T00:17:30Z,26.46,
6A,2024-01-25T00:17:45Z,25.46,
6A,2024-01-25T00:18:00Z,25.47,
6A,2024-01-25T00:18:15Z,25.38,
6A,2024-01-25T00:18:30Z,25.59,
6A,2024-01-25T00:18:45Z,25.880000000000003,
6A,2024-01-25T00:19:00Z,25.66,
6A,2024-01-25T00:19:15Z,25.49,
6A,2024-01-25T00:19:30Z,21.87,
6A,2024-01-25T00:19:45Z,21.98,
6A,2024-01-25T00:20:00Z,22.93,
6A,2024-01-25T00:20:15Z,21.93,
6A,2024-01-25T00:20:30Z,21.96,
6A,2024-01-25T00:20:45Z,22.13,
6A,2024-01-25T00:21:01Z,21.9,
6A,2024-01-25T00:21:15Z,21.9,
6A,2024-01-25T00:21:30Z,22.28,
6A,2024-01-25T00:21:45Z,22.23,
6A,2024-01-25T00:22:00Z,22.23,
6A,2024-01-25T00:22:15Z,22.23,
6A,2024-01-25T00:22:30Z,22.96,
6A,2024-01-25T00:22:45Z,22.56,
6A,2024-01-25T00:23:00Z,22.43,
6A,2024-01-25T00:23:15Z,22.380000000000003,
6A,2024-01-25T00:23:30Z,22.840000000000003,
6A,2024-01-25T00:23:45Z,22.96,
6A,2024-01-25T00:24:00Z,23.99,
6A,2024-01-25T00:24:15Z,23.03,
6A,2024-01-25T00:24:30Z,23.18,
6A,2024-01-25T00:24:45Z,22.99,
6A,2024-01-25T00:25:00Z,22.44,
6A,2024-01-25T00:25:15Z,22.34,
6A,2024-01-25T00:25:30Z,22.27,
6A,2024-01-25T00:25:45Z,22.35,
6A,2024-01-25T00:26:00Z,22.31,
6A,2024-01-25T00:26:15Z,23.28,
6A,2024-01-25T00:26:30Z,22.7,
6A,2024-01-25T00:26:45Z,23.0,
6A,2024-01-25T00:27:00Z,22.98,
6A,2024-01-25T00:27:15Z,23.03,
6A,2024-01-25T00:27:30Z,23.93,
6A,2024-01-25T00:27:45Z,23.07,
6A,2024-01-25T00:28:00Z,23.25,
6A,2024-01-25T00:28:15Z,22.78,
6A,2024-01-25T00:28:30Z,22.76,
6A,2024-01-25T00:28:45Z,22.73,
6A,2024-01-25T00:29:00Z,22.75,
6A,2024-01-25T00:29:15Z,22.74,
6A,2024-01-25T00:29:30Z,22.78,
6A,2024-01-25T00:29:45Z,22.8,
6A,2024-01-25T00:30:00Z,22.76,
6A,2024-01-25T00:30:15Z,22.41,
6A,2024-01-25T00:30:30Z,22.26,
6A,2024-01-25T00:30:45Z,22.31,
6A,2024-01-25T00:31:00Z,22.3,
6A,2024-01-25T00:31:15Z,22.35,
6A,2024-01-25T00:31:30Z,22.31,
6A,2024-01-25T00:31:45Z,22.39,
6A,2024-01-25T00:32:00Z,22.34,
6A,2024-01-25T00:32:15Z,22.33,
6A,2024-01-25T00:32:30Z,22.3,
6A,2024-01-25T00:32:45Z,22.77,
6A,2024-01-25T00:33:00Z,23.0,
6A,2024-01-25T00:33:15Z,23.25,
6A,2024-01-25T00:33:30Z,23.450000000000003,
6A,2024-01-25T00:33:45Z,23.52,
6A,2024-01-25T00:34:00Z,23.05,
6A,2024-01-25T00:34:15Z,22.91,
6A,2024-01-25T00:34:30Z,26.08,
6A,2024-01-25T00:34:45Z,25.67,
6A,2024-01-25T00:35:00Z,25.73,
6A,2024-01-25T00:35:15Z,25.7,
6A,2024-01-25T00:35:30Z,25.67,
6A,2024-01-25T00:35:45Z,25.65,
6A,2024-01-25T00:36:00Z,25.630000000000003,
6A,2024-01-25T00:36:15Z,25.79,
6A,2024-01-25T00:36:30Z,26.19,
6A,2024-01-25T00:36:45Z,25.77,
6A,2024-01-25T00:37:00Z,25.75,
6A,2024-01-25T00:37:15Z,26.5,
6A,2024-01-25T00:37:30Z,26.380000000000003,
6A,2024-01-25T00:37:45Z,27.270000000000003,
6A,2024-01-25T00:38:00Z,26.52,
6A,2024-01-25T00:38:15Z,26.35,
6A,2024-01-25T00:38:30Z,27.0,
6A,2024-01-25T00:38:45Z,26.94,
6A,2024-01-25T00:39:00Z,26.88,
6A,2024-01-25T00:39:15Z,26.94,
6A,2024-01-25T00:39:30Z,26.34,
6A,2024-01-25T00:39:45Z,27.11,
6A,2024-01-25T00:40:00Z,26.06,
6A,2024-01-25T00:40:15Z,26.05,
6A,2024-01-25T00:40:30Z,26.56,
6A,2024-01-25T00:40:45Z,26.03,
6A,2024-01-25T00:41:00Z,26.09,
6A,2024-01-25T00:41:15Z,26.6,
6A,2024-01-25T00:41:30Z,26.5,
6A,2024-01-25T00:41:45Z,26.57,
6A,2024-01-25T00:42:00Z,26.09,
6A,2024-01-25T00:42:15Z,26.06,
6A,2024-01-25T00:42:30Z,26.14,
6A,2024-01-25T00:42:45Z,26.11,
6A,2024-01-25T00:43:00Z,26.43,
6A,2024-01-25T00:43:15Z,26.26,
6A,2024-01-25T00:43:30Z,26.3,
6A,2024-01-25T00:43:45Z,27.18,
6A,2024-01-25T00:44:00Z,26.19,
6A,2024-01-25T00:44:15Z,26.24,
6A,2024-01-25T00:44:30Z,26.18,
6A,2024-01-25T00:44:45Z,26.17,
6A,2024-01-25T00:45:00Z,25.54,
6A,2024-01-25T00:45:15Z,26.02,
6A,2024-01-25T00:45:30Z,27.1,
6A,2024-01-25T00:45:45Z,26.99,
6A,2024-01-25T00:46:00Z,26.97,
6A,2024-01-25T00:46:15Z,27.160000000000004,
6A,2024-01-25T00:46:30Z,27.16,
6A,2024-01-25T00:46:45Z,26.3,
6A,2024-01-25T00:47:00Z,27.19,
6A,2024-01-25T00:47:15Z,26.25,
6A,2024-01-25T00:47:30Z,25.97,
6A,2024-01-25T00:47:45Z,27.53,
6A,2024-01-25T00:48:00Z,26.25,
6A,2024-01-25T00:48:15Z,26.21,
6A,2024-01-25T00:48:30Z,26.25,
6A,2024-01-25T00:48:45Z,25.82,
6A,2024-01-25T00:49:00Z,25.62,
6A,2024-01-25T00:49:15Z,26.11,
6A,2024-01-25T00:49:30Z,26.26,
6A,2024-01-25T00:49:45Z,26.23,
6A,2024-01-25T00:50:00Z,26.11,
6A,2024-01-25T00:50:15Z,27.11,
6A,2024-01-25T00:50:30Z,25.51,
6A,2024-01-25T00:50:45Z,25.06,
6A,2024-01-25T00:51:00Z,25.11,
6A,2024-01-25T00:51:15Z,25.07,
6A,2024-01-25T00:51:30Z,25.14,
6A,2024-01-25T00:51:45Z,25.18,
6A,2024-01-25T00:52:00Z,26.33,
6A,2024-01-25T00:52:15Z,25.87,
6A,2024-01-25T00:52:30Z,25.77,
6A,2024-01-25T00:52:45Z,22.19,
6A,2024-01-25T00:53:00Z,22.11,
6A,2024-01-25T00:53:15Z,22.06,
6A,2024-01-25T00:53:30Z,21.78,
6A,2024-01-25T00:53:45Z,22.63,
6A,2024-01-25T00:54:00Z,21.75,
6A,2024-01-25T00:54:15Z,21.69,
6A,2024-01-25T00:54:30Z,21.85,
6A,2024-01-25T00:54:45Z,21.63,
6A,2024-01-25T00:55:00Z,21.58,
6A,2024-01-25T00:55:15Z,21.61,
6A,2024-01-25T00:55:30Z,21.59,
6A,2024-01-25T00:55:45Z,21.54,
6A,2024-01-25T00:56:00Z,21.35,
6A,2024-01-25T00:56:15Z,22.05,
6A,2024-01-25T00:56:30Z,21.44,
6A,2024-01-25T00:56:45Z,21.44,
6A,2024-01-25T00:57:00Z,22.31,
6A,2024-01-25T00:57:15Z,21.35,
6A,2024-01-25T00:57:30Z,21.37,
6A,2024-01-25T00:57:45Z,21.42,
6A,2024-01-25T00:58:00Z,21.31,
6A,2024-01-25T00:58:15Z,21.35,
6A,2024-01-25T00:58:30Z,21.35,
6A,2024-01-25T00:58:45Z,21.37,
6A,2024-01-25T00:59:00Z,21.28,
6A,2024-01-25T00:59:15Z,21.34,
6A,2024-01-25T00:59:30Z,21.68,
6A,2024-01-25T00:59:45Z,21.67,
6A,2024-01-25T01:00:00Z,21.72,
6A,2024-01-25T01:00:15Z,21.72,
6A,2024-01-25T01:00:30Z,21.8,
6A,2024-01-25T01:00:45Z,21.77,
6A,2024-01-25T01:01:00Z,21.7,
6A,2024-01-25T01:01:15Z,22.13,
6A,2024-01-25T01:01:30Z,22.15,
6A,2024-01-25T01:01:45Z,22.14,
6A,2024-01-25T01:02:00Z,22.21,
6A,2024-01-25T01:02:15Z,22.2,
6A,2024-01-25T01:02:30Z,22.16,
6A,2024-01-25T01:02:45Z,22.09,
6A,2024-01-25T01:03:00Z,22.76,
6A,2024-01-25T01:03:15Z,22.26,
6A,2024-01-25T01:03:30Z,22.23,
6A,2024-01-25T01:03:45Z,23.3,
6A,2024-01-25T01:04:00Z,22.41,
6A,2024-01-25T01:04:15Z,22.21,
6A,2024-01-25T01:04:30Z,22.24,
6A,2024-01-25T01:04:45Z,22.6,
6A,2024-01-25T01:05:00Z,22.4,
6A,2024-01-25T01:05:15Z,23.12,
6A,2024-01-25T01:05:30Z,22.61,
6A,2024-01-25T01:05:45Z,22.45,
6A,2024-01-25T01:06:00Z,22.39,
6A,2024-01-25T01:06:15Z,22.46,
6A,2024-01-25T01:06:30Z,22.33,
6A,2024-01-25T01:06:45Z,22.25,
6A,2024-01-25T01:07:00Z,23.24,
6A,2024-01-25T01:07:15Z,22.94,
6A,2024-01-25T01:07:30Z,25.93,
6A,2024-01-25T01:07:45Z,26.24,
6A,2024-01-25T01:08:00Z,26.450000000000003,
6A,2024-01-25T01:08:15Z,26.48,
6A,2024-01-25T01:08:30Z,26.450000000000003,
6A,2024-01-25T01:08:45Z,25.270000000000003,
6A,2024-01-25T01:09:00Z,25.17,
6A,2024-01-25T01:09:15Z,25.12,
6A,2024-01-25T01:09:30Z,26.69,
6A,2024-01-25T01:09:45Z,25.880000000000003,
6A,2024-01-25T01:10:00Z,25.8,
6A,2024-01-25T01:10:15Z,25.8,
6A,2024-01-25T01:10:30Z,25.25,
6A,2024-01-25T01:10:45Z,26.15,
6A,2024-01-25T01:11:00Z,25.24,
6A,2024-01-25T01:11:15Z,25.17,
6A,2024-01-25T01:11:30Z,25.26,
6A,2024-01-25T01:11:45Z,25.54,
6A,2024-01-25T01:12:00Z,25.71,
6A,2024-01-25T01:12:15Z,25.630000000000003,
