series,timestamp,value,label
6A,2024-05-16T00:00:00Z,42.19,
6A,2024-05-16T00:00:15Z,41.760000000000005,
6A,2024-05-16T00:00:30Z,26.91,
6A,2024-05-16T00:00:45Z,26.91,
6A,2024-05-16T00:01:00Z,27.08,
6A,2024-05-16T00:01:15Z,27.07,
6A,2024-05-16T00:01:30Z,26.49,
6A,2024-05-16T00:01:45Z,26.52,
6A,2024-05-16T00:02:00Z,26.54,
6A,2024-05-16T00:02:15Z,26.59,
6A,2024-05-16T00:02:30Z,26.8,
6A,2024-05-16T00:02:45Z,27.58,
6A,2024-05-16T00:03:00Z,26.78,
6A,2024-05-16T00:03:15Z,26.64,
6A,2024-05-16T00:03:30Z,26.9,
6A,2024-05-16T00:03:45Z,26.98,
6A,2024-05-16T00:04:00Z,26.82,
6A,2024-05-16T00:04:15Z,26.71,
6A,2024-05-16T00:04:30Z,27.29,
6A,2024-05-16T00:04:45Z,27.25,
6A,2024-05-16T00:05:00Z,27.42,
6A,2024-05-16T00:05:15Z,27.41,
6A,2024-05-16T00:05:30Z,27.33,
6A,2024-05-16T00:05:45Z,27.380000000000003,
6A,2024-05-16T00:06:00Z,26.630000000000003,
6A,2024-05-16T00:06:15Z,26.72,
6A,2024-05-16T00:06:30Z,26.68,
6A,2024-05-16T00:06:45Z,26.67,
6A,2024-05-16T00:07:00Z,26.57,
6A,2024-05-16T00:07:15Z,27.32,
6A,2024-05-16T00:07:30Z,26.52,
6A,2024-05-16T00:07:45Z,26.49,
6A,2024-05-16T00:08:00Z,26.43,
6A,2024-05-16T00:08:15Z,27.07,
6A,2024-05-16T00:08:30Z,27.1,
6A,2024-05-16T00:08:45Z,27.11,
6A,2024-05-16T00:09:00Z,27.07,
6A,2024-05-16T00:09:15Z,26.43,
6A,2024-05-16T00:09:30Z,26.36,
6A,2024-05-16T00:09:45Z,26.58,
6A,2024-05-16T00:10:00Z,27.1,
6A,2024-05-16T00:10:15Z,26.82,
6A,2024-05-16T00:10:30Z,26.76,
6A,2024-05-16T00:10:45Z,27.16,
6A,2024-05-16T00:11:00Z,27.91,
6A,2024-05-16T00:11:15Z,27.89,
6A,2024-05-16T00:11:30Z,27.93,
