series,timestamp,value,label
6A,2024-11-27T00:00:00Z,43.7,
6A,2024-11-27T00:00:15Z,44.07,
6A,2024-11-27T00:00:30Z,43.77,
6A,2024-11-27T00:00:45Z,44.33,
6A,2024-11-27T00:01:00Z,43.82,
6A,2024-11-27T00:01:15Z,43.5,
6A,2024-11-27T00:01:30Z,43.4,
6A,2024-11-27T00:01:45Z,44.89,
6A,2024-11-27T00:02:00Z,44.120000000000005,
6A,2024-11-27T00:02:15Z,26.36,
6A,2024-11-27T00:02:30Z,26.44,
6A,2024-11-27T00:02:45Z,26.54,
6A,2024-11-27T00:03:00Z,27.15,
6A,2024-11-27T00:03:15Z,26.950000000000003,
6A,2024-11-27T00:03:30Z,27.77,
6A,2024-11-27T00:03:45Z,27.65,
6A,2024-11-27T00:04:00Z,27.98,
6A,2024-11-27T00:04:15Z,27.71,
6A,2024-11-27T00:04:30Z,27.3,
6A,2024-11-27T00:04:45Z,27.35,
6A,2024-11-27T00:05:00Z,26.93,
6A,2024-11-27T00:05:15Z,26.88,
6A,2024-11-27T00:05:30Z,26.86,
6A,2024-11-27T00:05:45Z,27.56,
6A,2024-11-27T00:06:00Z,23.64,
6A,2024-11-27T00:06:15Z,24.26,
6A,2024-11-27T00:06:30Z,24.34,
6A,2024-11-27T00:06:45Z,24.26,
6A,2024-11-27T00:07:00Z,24.17,
6A,2024-11-27T00:07:15Z,24.42,
6A,2024-11-27T00:07:30Z,24.89,
6A,2024-11-27T00:07:45Z,24.1,
6A,2024-11-27T00:08:00Z,24.41,
6A,2024-11-27T00:08:15Z,24.27,
6A,2024-11-27T00:08:30Z,23.56,
6A,2024-11-27T00:08:45Z,23.880000000000003,
6A,2024-11-27T00:09:00Z,24.92,
6A,2024-11-27T00:09:15Z,23.82,
6A,2024-11-27T00:09:30Z,24.43,
6A,2024-11-27T00:09:45Z,23.4,
6A,2024-11-27T00:10:00Z,24.14,
6A,2024-11-27T00:10:15Z,23.27,
6A,2024-11-27T00:10:30Z,22.93,
6A,2024-11-27T00:10:45Z,24.34,
6A,2024-11-27T00:11:00Z,22.96,
6A,2024-11-27T00:11:15Z,22.880000000000003,
6A,2024-11-27T00:11:30Z,22.64,
6A,2024-11-27T00:11:45Z,23.7,
6A,2024-11-27T00:12:00Z,22.66,
6A,2024-11-27T00:12:15Z,22.66,
6A,2024-11-27T00:12:30Z,23.5,
6A,2024-11-27T00:12:45Z,23.300000000000004,
6A,2024-11-27T00:13:00Z,23.71,
6A,2024-11-27T00:13:15Z,23.24,
6A,2024-11-27T00:13:30Z,22.39,
6A,2024-11-27T00:13:45Z,23.38,
6A,2024-11-27T00:14:00Z,23.39,
6A,2024-11-27T00:14:15Z,22.58,
6A,2024-11-27T00:14:30Z,22.63,
6A,2024-11-27T00:14:45Z,22.69,
6A,2024-11-27T00:15:00Z,22.83,
6A,2024-11-27T00:15:15Z,22.72,
6A,2024-11-27T00:15:30Z,23.21,
6A,2024-11-27T00:15:45Z,24.39,
6A,2024-11-27T00:16:00Z,22.77,
6A,2024-11-27T00:16:15Z,23.24,
6A,2024-11-27T00:16:30Z,22.6,
6A,2024-11-27T00:16:45Z,22.48,
6A,2024-11-27T00:17:00Z,23.0,
6A,2024-11-27T00:18:45Z,22.55,
6A,2024-11-27T00:19:00Z,22.94,
6A,2024-11-27T00:19:15Z,22.56,
6A,2024-11-27T00:19:30Z,18.09,
6A,2024-11-27T00:19:45Z,16.96,
6A,2024-11-27T00:20:00Z,16.93,
6A,2024-11-27T00:20:15Z,16.22,
6A,2024-11-27T00:20:30Z,15.689999999999998,
6A,2024-11-27T00:20:45Z,15.73,
6A,2024-11-27T00:21:00Z,15.05,
6A,2024-11-27T00:21:15Z,15.36,
6A,2024-11-27T00:21:30Z,16.990000000000002,
6A,2024-11-27T00:21:45Z,15.62,
6A,2024-11-27T00:22:00Z,15.68,
6A,2024-11-27T00:22:15Z,15.69,
6A,2024-11-27T00:22:30Z,15.670000000000002,
6A,2024-11-27T00:22:45Z,15.57,
6A,2024-11-27T00:23:00Z,15.56,
6A,2024-11-27T00:23:15Z,16.45,
6A,2024-11-27T00:23:30Z,15.67,
6A,2024-11-27T00:23:45Z,15.63,
6A,2024-11-27T00:24:00Z,15.64,
6A,2024-11-27T00:24:15Z,15.09,
6A,2024-11-27T00:24:30Z,15.11,
6A,2024-11-27T00:24:45Z,15.1,
6A,2024-11-27T00:25:00Z,15.09,
6A,2024-11-27T00:25:15Z,18.69,
6A,2024-11-27T00:25:30Z,18.74,
6A,2024-11-27T00:25:45Z,18.78,
6A,2024-11-27T00:26:00Z,19.78,
6A,2024-11-27T00:26:15Z,18.87,
6A,2024-11-27T00:26:30Z,18.81,
6A,2024-11-27T00:26:45Z,19.14,
6A,2024-11-27T00:27:00Z,19.14,
6A,2024-11-27T00:27:15Z,18.98,
6A,2024-11-27T00:27:30Z,19.03,
6A,2024-11-27T00:27:45Z,18.93,
6A,2024-11-27T00:28:00Z,19.05,
6A,2024-11-27T00:28:15Z,19.04,
6A,2024-11-27T00:28:30Z,19.05,
6A,2024-11-27T00:28:45Z,19.08,
6A,2024-11-27T00:29:00Z,19.75,
6A,2024-11-27T00:29:15Z,19.3,
6A,2024-11-27T00:29:30Z,19.25,
6A,2024-11-27T00:29:45Z,19.34,
6A,2024-11-27T00:30:00Z,19.41,
6A,2024-11-27T00:30:15Z,19.35,
6A,2024-11-27T00:30:30Z,19.46,
6A,2024-11-27T00:30:45Z,19.45,
6A,2024-11-27T00:31:00Z,20.21,
6A,2024-11-27T00:31:15Z,20.77,
6A,2024-11-27T00:31:30Z,20.37,
6A,2024-11-27T00:31:45Z,20.24,
6A,2024-11-27T00:32:00Z,20.61,
6A,2024-11-27T00:32:15Z,20.7,
6A,2024-11-27T00:32:30Z,19.91,
6A,2024-11-27T00:32:45Z,20.11,
6A,2024-11-27T00:33:00Z,20.11,
6A,2024-11-27T00:33:15Z,20.16,
6A,2024-11-27T00:33:30Z,20.06,
6A,2024-11-27T00:33:45Z,20.54,
6A,2024-11-27T00:34:00Z,20.94,
6A,2024-11-27T00:34:15Z,20.93,
6A,2024-11-27T00:34:30Z,20.89,
6A,2024-11-27T00:34:45Z,20.69,
6A,2024-11-27T00:35:00Z,20.18,
6A,2024-11-27T00:35:15Z,20.14,
6A,2024-11-27T00:35:30Z,19.48,
6A,2024-11-27T00:35:45Z,19.51,
6A,2024-11-27T00:36:00Z,19.17,
6A,2024-11-27T00:36:15Z,19.62,
6A,2024-11-27T00:36:30Z,19.74,
6A,2024-11-27T00:36:45Z,19.32,
6A,2024-11-27T00:37:00Z,19.32,
6A,2024-11-27T00:37:15Z,19.98,
6A,2024-11-27T00:37:30Z,19.38,
6A,2024-11-27T00:37:45Z,19.87,
6A,2024-11-27T00:38:00Z,20.26,
6A,2024-11-27T00:38:15Z,20.25,
6A,2024-11-27T00:38:30Z,20.200000000000003,
