series,timestamp,value,label
11A,2025-02-27T00:00:00Z,13.16,
11A,2025-02-27T00:00:15Z,13.46,
11A,2025-02-27T00:00:30Z,13.419999999999998,
11A,2025-02-27T00:00:45Z,14.1,
11A,2025-02-27T00:01:00Z,13.27,
11A,2025-02-27T00:01:15Z,13.47,
11A,2025-02-27T00:01:30Z,13.52,
11A,2025-02-27T00:01:45Z,13.48,
11A,2025-02-27T00:02:00Z,13.45,
11A,2025-02-27T00:02:15Z,13.32,
11A,2025-02-27T00:02:30Z,13.39,
11A,2025-02-27T00:02:45Z,13.39,
11A,2025-02-27T00:03:00Z,13.39,
11A,2025-02-27T00:03:15Z,13.38,
11A,2025-02-27T00:03:30Z,13.37,
11A,2025-02-27T00:03:45Z,13.38,
11A,2025-02-27T00:04:00Z,13.499999999999998,
11A,2025-02-27T00:04:15Z,13.39,
11A,2025-02-27T00:04:30Z,13.44,
11A,2025-02-27T00:04:45Z,13.42,
11A,2025-02-27T00:05:00Z,13.35,
11A,2025-02-27T00:05:15Z,13.33,
11A,2025-02-27T00:05:30Z,13.34,
11A,2025-02-27T00:05:45Z,13.38,
11A,2025-02-27T00:06:00Z,14.170000000000002,
11A,2025-02-27T00:06:15Z,13.38,
11A,2025-02-27T00:06:30Z,13.42,
11A,2025-02-27T00:06:45Z,13.47,
11A,2025-02-27T00:07:00Z,17.09,
11A,2025-02-27T00:07:15Z,17.61,
11A,2025-02-27T00:07:30Z,17.43,
11A,2025-02-27T00:07:45Z,17.39,
11A,2025-02-27T00:08:00Z,17.25,
11A,2025-02-27T00:08:15Z,17.23,
11A,2025-02-27T00:08:30Z,17.37,
11A,2025-02-27T00:08:45Z,17.43,
11A,2025-02-27T00:09:00Z,17.47,
11A,2025-02-27T00:09:15Z,17.46,
11A,2025-02-27T00:09:30Z,17.55,
11A,2025-02-27T00:09:45Z,16.47,
11A,2025-02-27T00:10:00Z,16.43,
11A,2025-02-27T00:10:15Z,16.32,
11A,2025-02-27T00:10:30Z,16.85,
11A,2025-02-27T00:10:45Z,16.79,
11A,2025-02-27T00:11:00Z,16.87,
11A,2025-02-27T00:11:15Z,16.5,
11A,2025-02-27T00:11:30Z,15.55,
11A,2025-02-27T00:11:45Z,11.81,
11A,2025-02-27T00:12:00Z,11.66,
11A,2025-02-27T00:12:15Z,11.2,
11A,2025-02-27T00:12:30Z,11.23,
11A,2025-02-27T00:12:45Z,12.15,
11A,2025-02-27T00:13:00Z,12.39,
11A,2025-02-27T00:13:15Z,12.28,
11A,2025-02-27T00:13:30Z,12.28,
11A,2025-02-27T00:13:45Z,12.27,
11A,2025-02-27T00:14:00Z,12.27,
11A,2025-02-27T00:14:15Z,12.27,
11A,2025-02-27T00:14:30Z,12.25,
11A,2025-02-27T00:14:45Z,12.24,
11A,2025-02-27T00:15:00Z,12.45,
11A,2025-02-27T00:15:15Z,12.32,
11A,2025-02-27T00:15:30Z,12.37,
11A,2025-02-27T00:15:45Z,12.31,
11A,2025-02-27T00:16:00Z,12.32,
11A,2025-02-27T00:16:15Z,12.44,
11A,2025-02-27T00:16:30Z,13.260000000000002,
11A,2025-02-27T00:16:45Z,13.25,
11A,2025-02-27T00:17:00Z,13.47,
11A,2025-02-27T00:17:15Z,13.49,
11A,2025-02-27T00:17:30Z,13.41,
11A,2025-02-27T00:17:45Z,13.28,
11A,2025-02-27T00:18:00Z,13.239999999999998,
11A,2025-02-27T00:18:15Z,13.329999999999998,
11A,2025-02-27T00:18:30Z,13.3,
11A,2025-02-27T00:18:45Z,13.28,
11A,2025-02-27T00:19:00Z,13.45,
11A,2025-02-27T00:19:15Z,13.45,
11A,2025-02-27T00:19:30Z,13.39,
11A,2025-02-27T00:19:45Z,13.39,
11A,2025-02-27T00:20:00Z,17.49,
11A,2025-02-27T00:20:15Z,17.439999999999998,
11A,2025-02-27T00:20:30Z,17.51,
11A,2025-02-27T00:20:45Z,17.45,
11A,2025-02-27T00:21:00Z,17.39,
11A,2025-02-27T00:21:15Z,17.23,
11A,2025-02-27T00:21:30Z,17.21,
11A,2025-02-27T00:21:45Z,17.9,
11A,2025-02-27T00:22:00Z,17.04,
11A,2025-02-27T00:22:15Z,17.060000000000002,
11A,2025-02-27T00:22:30Z,17.2,
11A,2025-02-27T00:22:45Z,17.16,
11A,2025-02-27T00:23:00Z,17.2,
11A,2025-02-27T00:23:15Z,17.11,
11A,2025-02-27T00:23:30Z,17.18,
11A,2025-02-27T00:23:45Z,17.05,
11A,2025-02-27T00:24:00Z,17.060000000000002,
11A,2025-02-27T00:24:15Z,17.9,
11A,2025-02-27T00:24:30Z,17.119999999999997,
11A,2025-02-27T00:24:45Z,13.39,
11A,2025-02-27T00:25:00Z,13.39,
11A,2025-02-27T00:25:15Z,13.41,
11A,2025-02-27T00:25:30Z,13.510000000000002,
11A,2025-02-27T00:25:45Z,13.64,
11A,2025-02-27T00:26:00Z,13.64,
11A,2025-02-27T00:26:15Z,13.62,
11A,2025-02-27T00:26:30Z,13.62,
11A,2025-02-27T00:26:45Z,13.54,
11A,2025-02-27T00:27:00Z,13.47,
11A,2025-02-27T00:27:15Z,13.51,
11A,2025-02-27T00:27:30Z,12.420000000000002,
11A,2025-02-27T00:27:45Z,12.46,
11A,2025-02-27T00:28:00Z,11.44,
11A,2025-02-27T00:28:15Z,11.47,
11A,2025-02-27T00:28:30Z,11.62,
11A,2025-02-27T00:28:45Z,11.51,
11A,2025-02-27T00:29:00Z,11.52,
11A,2025-02-27T00:29:15Z,11.58,
11A,2025-02-27T00:29:30Z,12.5,
11A,2025-02-27T00:29:45Z,11.77,
11A,2025-02-27T00:30:00Z,11.78,
11A,2025-02-27T00:30:15Z,11.76,
11A,2025-02-27T00:30:30Z,11.68,
11A,2025-02-27T00:30:45Z,11.62,
11A,2025-02-27T00:31:00Z,12.6,
11A,2025-02-27T00:31:15Z,12.83,
11A,2025-02-27T00:31:30Z,12.82,
11A,2025-02-27T00:31:45Z,12.75,
11A,2025-02-27T00:32:00Z,12.72,
11A,2025-02-27T00:32:15Z,12.71,
11A,2025-02-27T00:32:30Z,12.92,
11A,2025-02-27T00:32:45Z,13.78,
11A,2025-02-27T00:33:00Z,17.91,
11A,2025-02-27T00:33:15Z,18.16,
11A,2025-02-27T00:33:30Z,17.82,
11A,2025-02-27T00:33:45Z,17.72,
11A,2025-02-27T00:34:00Z,17.64,
11A,2025-02-27T00:34:15Z,17.48,
11A,2025-02-27T00:34:30Z,17.509999999999998,
11A,2025-02-27T00:34:45Z,18.3,
11A,2025-02-27T00:35:00Z,17.270000000000003,
11A,2025-02-27T00:35:15Z,17.119999999999997,
11A,2025-02-27T00:35:30Z,16.86,
11A,2025-02-27T00:35:45Z,16.77,
11A,2025-02-27T00:36:00Z,16.86,
11A,2025-02-27T00:36:15Z,16.75,
11A,2025-02-27T00:36:30Z,16.869999999999997,
11A,2025-02-27T00:36:45Z,16.82,
11A,2025-02-27T00:37:00Z,16.85,
11A,2025-02-27T00:37:15Z,16.86,
11A,2025-02-27T00:37:30Z,16.86,
11A,2025-02-27T00:37:45Z,13.1,
11A,2025-02-27T00:38:00Z,13.1,
11A,2025-02-27T00:38:15Z,13.09,
11A,2025-02-27T00:38:30Z,13.07,
11A,2025-02-27T00:38:45Z,13.05,
11A,2025-02-27T00:39:00Z,12.98,
11A,2025-02-27T00:39:15Z,12.07,
11A,2025-02-27T00:39:30Z,12.11,
11A,2025-02-27T00:39:45Z,12.1,
11A,2025-02-27T00:40:00Z,12.87,
11A,2025-02-27T00:40:15Z,12.07,
11A,2025-02-27T00:40:30Z,12.06,
11A,2025-02-27T00:40:45Z,12.44,
11A,2025-02-27T00:41:00Z,12.18,
11A,2025-02-27T00:41:15Z,12.17,
11A,2025-02-27T00:41:30Z,12.2,
11A,2025-02-27T00:41:45Z,12.24,
11A,2025-02-27T00:42:00Z,12.23,
11A,2025-02-27T00:42:15Z,13.34,
11A,2025-02-27T00:42:30Z,13.28,
11A,2025-02-27T00:42:45Z,13.29,
11A,2025-02-27T00:43:00Z,13.25,
11A,2025-02-27T00:43:15Z,13.27,
11A,2025-02-27T00:43:30Z,13.22,
11A,2025-02-27T00:43:45Z,13.26,
11A,2025-02-27T00:44:00Z,12.25,
11A,2025-02-27T00:44:15Z,12.19,
11A,2025-02-27T00:44:30Z,12.240000000000002,
11A,2025-02-27T00:44:45Z,12.27,
11A,2025-02-27T00:45:00Z,12.340000000000002,
11A,2025-02-27T00:45:15Z,13.05,
11A,2025-02-27T00:45:30Z,12.15,
11A,2025-02-27T00:45:45Z,12.12,
11A,2025-02-27T00:46:00Z,12.2,
11A,2025-02-27T00:46:15Z,16.259999999999998,
11A,2025-02-27T00:46:30Z,16.17,
11A,2025-02-27T00:46:45Z,15.99,
11A,2025-02-27T00:47:00Z,15.94,
11A,2025-02-27T00:47:15Z,15.81,
11A,2025-02-27T00:47:30Z,15.82,
11A,2025-02-27T00:47:45Z,15.78,
11A,2025-02-27T00:48:00Z,15.83,
11A,2025-02-27T00:48:15Z,15.87,
11A,2025-02-27T00:48:30Z,15.87,
11A,2025-02-27T00:48:45Z,15.87,
11A,2025-02-27T00:49:00Z,15.8,
11A,2025-02-27T00:49:15Z,15.75,
11A,2025-02-27T00:49:30Z,16.85,
11A,2025-02-27T00:49:45Z,16.86,
11A,2025-02-27T00:50:00Z,16.78,
11A,2025-02-27T00:50:15Z,16.65,
11A,2025-02-27T00:50:30Z,17.48,
11A,2025-02-27T00:50:45Z,13.07,
11A,2025-02-27T00:51:00Z,13.2,
11A,2025-02-27T00:51:15Z,13.1,
11A,2025-02-27T00:51:30Z,13.080000000000002,
11A,2025-02-27T00:51:45Z,13.07,
11A,2025-02-27T00:52:00Z,13.05,
11A,2025-02-27T00:52:15Z,12.990000000000002,
11A,2025-02-27T00:52:30Z,12.95,
11A,2025-02-27T00:52:45Z,13.14,
11A,2025-02-27T00:53:00Z,13.08,
11A,2025-02-27T00:53:15Z,12.1,
11A,2025-02-27T00:53:30Z,12.2,
11A,2025-02-27T00:53:45Z,12.1,
11A,2025-02-27T00:54:00Z,12.239999999999998,
11A,2025-02-27T00:54:15Z,12.169999999999998,
11A,2025-02-27T00:54:30Z,12.13,
11A,2025-02-27T00:54:45Z,12.2,
